term;tag;value
фантастически;PSTV;2.611111111
превосходящий;PSTV;2.611111111
каникулы;PSTV;2.6086956519999998
чудом;PSTV;2.6
помечтать;PSTV;2.6
чистое состояние;PSTV;2.6
эталонный;PSTV;2.6
неоценимо;PSTV;2.6
мурлыкание;PSTV;2.6
сверкать белизной;PSTV;2.6
музыкальный слух;PSTV;2.6
Питер;PSTV;2.6
справляться;PSTV;2.6
провести время;PSTV;2.6
по-королевски;PSTV;2.6
дружиться;PSTV;2.6
отоспаться;PSTV;2.6
ласточка;PSTV;2.6
профессиональный рост;PSTV;2.6
люблю;PSTV;2.6
Бетховен;PSTV;2.6
гармоничный;PSTV;2.6
салют;PSTV;2.6
с мировым именем;PSTV;2.6
рай земной;PSTV;2.6
близкий по духу человек;PSTV;2.6
новогодняя ёлка;PSTV;2.6
сильная любовь;PSTV;2.6
выжить;PSTV;2.6
катехизация;PSTV;2.6
счастливица;PSTV;2.6
нежное прикосновение;PSTV;2.6
золотая осень;PSTV;2.6
развивающийся;PSTV;2.6
курортный;PSTV;2.6
по зову сердца;PSTV;2.6
превосходная степень;PSTV;2.6
неотразимый;PSTV;2.6
сверхмощный;PSTV;2.6
платёжеспособный;PSTV;2.6
чистенький;PSTV;2.6
завершённый;PSTV;2.6
высший орден;PSTV;2.6
главнокомандующий;PSTV;2.6
Океан;PSTV;2.6
инновационный;PSTV;2.6
на высоте;PSTV;2.6
тепленькое местечко;PSTV;2.6
финалист;PSTV;2.6
во всей красе;PSTV;2.6
на волне успеха;PSTV;2.6
наслаждаться;PSTV;2.6
лучшее предложение;PSTV;2.6
флюид;PSTV;2.6
мягкая;PSTV;2.6
триумфальный;PSTV;2.6
сочная;PSTV;2.6
торжественный момент;PSTV;2.6
по-княжески;PSTV;2.6
обаятельный;PSTV;2.6
величественный особняк;PSTV;2.6
свежачок;PSTV;2.6
высокооплачиваемый;PSTV;2.6
успех;PSTV;2.6
наслаждаться жизнью;PSTV;2.592592592
яркое воспоминание;PSTV;2.59090909
вдохновенье;PSTV;2.588235294
голубая мечта;PSTV;2.588235294
куш;PSTV;2.583333333
аромат;PSTV;2.583333333
пение птиц;PSTV;2.583333333
лакомый;PSTV;2.583333333
медовый месяц;PSTV;2.583333333
безупречный;PSTV;2.583333333
бесстрашный;PSTV;2.583333333
возлюбить;PSTV;2.583333333
дорогие;PSTV;2.583333333
сладкие;PSTV;2.583333333
славнейший;PSTV;2.583333333
да;PSTV;2.583333333
чистая победа;PSTV;2.583333333
услаждаться;PSTV;2.583333333
долгожитель;PSTV;2.583333333
истома;PSTV;2.583333333
звёздная ночь;PSTV;2.583333333
счастливо;PSTV;2.583333333
Нью-Йорк;PSTV;2.583333333
лакомый кусочек;PSTV;2.583333333
чудо-ребенок;PSTV;2.583333333
отапливать;PSTV;2.583333333
сладкая жизнь;PSTV;2.583333333
тёплая;PSTV;2.583333333
родителей;PSTV;2.583333333
удивительный;PSTV;2.583333333
высокое качество;PSTV;2.583333333
добиться;PSTV;2.583333333
исцелиться;PSTV;2.583333333
самоосвобождение;PSTV;2.583333333
кондитерская;PSTV;2.583333333
роскошность;PSTV;2.583333333
отборнейший;PSTV;2.583333333
хрусталик;PSTV;2.583333333
любовная страсть;PSTV;2.583333333
джем;PSTV;2.583333333
изумительно;PSTV;2.583333333
покой;PSTV;2.583333333
восхитительность;PSTV;2.583333333
в прекрасной форме;PSTV;2.583333333
чудесная погода;PSTV;2.576923076
отпуск;PSTV;2.576923076
восторг;PSTV;2.576923076
чувство восторга;PSTV;2.576923076
лучшее;PSTV;2.5714285709999998
ублажить;PSTV;2.5714285709999998
замечательное настроение;PSTV;2.5714285709999998
фортуна;PSTV;2.5714285709999998
падать от смеха;PSTV;2.5714285709999998
приз;PSTV;2.5714285709999998
поесть;PSTV;2.5714285709999998
отменный;PSTV;2.5714285709999998
жизнелюб;PSTV;2.5714285709999998
фантастический;PSTV;2.5714285709999998
кайф;PSTV;2.5714285709999998
вкусняшки;PSTV;2.5714285709999998
идеальная женщина;PSTV;2.5714285709999998
драгоценный подарок;PSTV;2.5714285709999998
вкуснота;PSTV;2.5714285709999998
звездопад;PSTV;2.5714285709999998
похохотать;PSTV;2.5714285709999998
малина;PSTV;2.5714285709999998
пиршественный;PSTV;2.5714285709999998
женский пол;PSTV;2.5714285709999998
как у Христа за пазухой;PSTV;2.5714285709999998
разумный человек;PSTV;2.5714285709999998
Город без наркотиков;PSTV;2.5714285709999998
прекрасно;PSTV;2.5714285709999998
восхищение;PSTV;2.5714285709999998
душевая;PSTV;2.5714285709999998
страсть;PSTV;2.5714285709999998
завораживающе;PSTV;2.565217391
хорошая песня;PSTV;2.565217391
добиться успеха;PSTV;2.565217391
полакомиться;PSTV;2.5625
ослепительная красота;PSTV;2.5625
Гармония;PSTV;2.5625
любимый;PSTV;2.56
объятие;PSTV;2.56
идиллия;PSTV;2.56
идеалистический;PSTV;2.555555555
развиться;PSTV;2.555555555
сотворить чудо;PSTV;2.555555555
увенчать лаврами;PSTV;2.555555555
превосходный;PSTV;2.555555555
открывать что-то новое;PSTV;2.555555555
шедевр;PSTV;2.553191489
дом, милый дом;PSTV;2.55
салютовать;PSTV;2.545454545
самоудовлетворённость;PSTV;2.545454545
интереснейший;PSTV;2.545454545
семейное благополучие;PSTV;2.545454545
жизнь;PSTV;2.545454545
рассмешить;PSTV;2.545454545
сдержать обещание;PSTV;2.545454545
взрыв эмоций;PSTV;2.545454545
могущественность;PSTV;2.545454545
качели;PSTV;2.545454545
сокровища;PSTV;2.545454545
превосходно;PSTV;2.545454545
самосовершенствование;PSTV;2.545454545
заработный;PSTV;2.545454545
женская красота;PSTV;2.545454545
настоящий мужчина;PSTV;2.545454545
лучшее время;PSTV;2.545454545
состоятельность;PSTV;2.545454545
родители;PSTV;2.545454545
увековечить;PSTV;2.545454545
стипендия;PSTV;2.545454545
виновник торжества;PSTV;2.545454545
новые горизонты;PSTV;2.545454545
чудесное;PSTV;2.545454545
легендарный;PSTV;2.545454545
снежок;PSTV;2.545454545
мышцы;PSTV;2.545454545
освежиться;PSTV;2.545454545
вау;PSTV;2.545454545
поугарать;PSTV;2.545454545
новация;PSTV;2.545454545
книгу;PSTV;2.545454545
джакузи;PSTV;2.545454545
королевская яхта;PSTV;2.545454545
феноменальность;PSTV;2.545454545
личность;PSTV;2.545454545
любимка;PSTV;2.545454545
жизни;PSTV;2.545454545
оживить;PSTV;2.545454545
премировать;PSTV;2.545454545
рождения;PSTV;2.545454545
втридешева;PSTV;2.545454545
воодушевление;PSTV;2.545454545
душеспасительный;PSTV;2.545454545
георгиевский кавалер;PSTV;2.545454545
право на будущее;PSTV;2.545454545
доход;PSTV;2.545454545
престижный;PSTV;2.545454545
художественный;PSTV;2.545454545
герои;PSTV;2.545454545
родитель;PSTV;2.545454545
аттракцион;PSTV;2.545454545
счастливчик;PSTV;2.545454545
раздолье;PSTV;2.545454545
ликующе;PSTV;2.545454545
несокрушимость;PSTV;2.545454545
мудрейший;PSTV;2.545454545
правовое государство;PSTV;2.545454545
пляски;PSTV;2.545454545
цвести;PSTV;2.545454545
шоколадное молоко;PSTV;2.545454545
земной рай;PSTV;2.545454545
везуха;PSTV;2.545454545
карнавальный;PSTV;2.545454545
сдружиться;PSTV;2.545454545
стремиться;PSTV;2.545454545
золотое;PSTV;2.545454545
процветание;PSTV;2.545454545
высокая оценка;PSTV;2.545454545
чувство любви;PSTV;2.545454545
захохотать;PSTV;2.545454545
любимое место;PSTV;2.545454545
семечки;PSTV;2.545454545
счастье, что;PSTV;2.545454545
рекомендоваться;PSTV;2.545454545
уличное освещение;PSTV;2.545454545
на седьмом небе от счастья;PSTV;2.545454545
зрелищность;PSTV;2.545454545
земной свет;PSTV;2.545454545
любви;PSTV;2.545454545
расцветать;PSTV;2.545454545
уникальный талант;PSTV;2.545454545
сертификат;PSTV;2.545454545
высший сорт;PSTV;2.545454545
везучий человек;PSTV;2.545454545
воскреснуть;PSTV;2.545454545
божественный;PSTV;2.545454545
достоверно;PSTV;2.545454545
горнолыжный;PSTV;2.545454545
эстетическое удовольствие;PSTV;2.541666666
виртуоз;PSTV;2.541666666
просветлять;PSTV;2.538461538
комедия;PSTV;2.538461538
радиационная защита;PSTV;2.538461538
общаться;PSTV;2.538461538
любимые;PSTV;2.538461538
прогреться;PSTV;2.538461538
победоносность;PSTV;2.538461538
свой человек;PSTV;2.538461538
кондитерское изделие;PSTV;2.538461538
олимпийское спокойствие;PSTV;2.538461538
расцеловать;PSTV;2.538461538
день рожденья;PSTV;2.538461538
полезнейший;PSTV;2.538461538
чистое озеро;PSTV;2.538461538
личное имя;PSTV;2.538461538
голубое небо;PSTV;2.538461538
неиссякаемо;PSTV;2.538461538
высшая;PSTV;2.538461538
котлеты;PSTV;2.538461538
пляж;PSTV;2.538461538
влюблённые;PSTV;2.538461538
обниматься;PSTV;2.538461538
свободно;PSTV;2.538461538
пломбир;PSTV;2.538461538
вздох облегчения;PSTV;2.538461538
понижение цены;PSTV;2.538461538
специалист;PSTV;2.538461538
умный человек;PSTV;2.538461538
вдохновенность;PSTV;2.538461538
легкокрылый;PSTV;2.538461538
процветать;PSTV;2.538461538
упоительность;PSTV;2.538461538
булочка;PSTV;2.538461538
первосортный;PSTV;2.5333333330000003
мелодия;PSTV;2.5333333330000003
влюблённый;PSTV;2.5333333330000003
Гавайи;PSTV;2.5333333330000003
великолепные вещи;PSTV;2.5333333330000003
окупить;PSTV;2.5333333330000003
сказочно;PSTV;2.5333333330000003
поразвлечься;PSTV;2.5294117640000002
идеально;PSTV;2.5294117640000002
чарующе;PSTV;2.526315789
благодарный;PSTV;2.523809523
блистательный;PSTV;2.52173913
совершенный;PSTV;2.52173913
хороший день;PSTV;2.52173913
выиграть;PSTV;2.52173913
блаженный;PSTV;2.52
верная любовь;PSTV;2.52
летние каникулы;PSTV;2.52
от души;PSTV;2.52
ура;PSTV;2.52
вкусный;PSTV;2.518518518
мастер своего дела;PSTV;2.5
уютная атмосфера;PSTV;2.5
весеннее наступление;PSTV;2.5
обворожительность;PSTV;2.5
удивительная лёгкость;PSTV;2.5
высший класс;PSTV;2.5
дружеская атмосфера;PSTV;2.5
премудрый;PSTV;2.5
благословение;PSTV;2.5
чудотворец;PSTV;2.5
красивые;PSTV;2.5
изобильный;PSTV;2.5
согреться;PSTV;2.5
здороветь;PSTV;2.5
увенчаться успехом;PSTV;2.5
всезнающий;PSTV;2.5
прав;PSTV;2.5
рассудительность;PSTV;2.5
родное;PSTV;2.5
щедро;PSTV;2.5
возмечтать;PSTV;2.5
приходиться по душе;PSTV;2.5
эолова арфа;PSTV;2.5
защитить диссертацию;PSTV;2.5
просветлеть;PSTV;2.5
концерт;PSTV;2.5
чиниться;PSTV;2.5
сладкий сон;PSTV;2.5
сиятельство;PSTV;2.5
выигрывать;PSTV;2.5
точно исполненный;PSTV;2.5
новая музыка;PSTV;2.5
истинная красота;PSTV;2.5
упали цены;PSTV;2.5
ангельски;PSTV;2.5
обрадовать;PSTV;2.5
подружиться;PSTV;2.5
купание;PSTV;2.5
чувств;PSTV;2.5
пять звёзд;PSTV;2.5
смак;PSTV;2.5
море;PSTV;2.5
жить;PSTV;2.5
благостность;PSTV;2.5
творчество;PSTV;2.5
крупные победы;PSTV;2.5
преотличный;PSTV;2.5
национальная безопасность;PSTV;2.5
как нельзя лучше;PSTV;2.5
офигеть как;PSTV;2.5
живительно;PSTV;2.5
живая;PSTV;2.5
боженька;PSTV;2.5
всесильный;PSTV;2.5
мурлыкать;PSTV;2.5
цветовая палитра;PSTV;2.5
угарать;PSTV;2.5
драгоценный камень;PSTV;2.5
подарки;PSTV;2.5
трудолюбие;PSTV;2.5
майское солнце;PSTV;2.5
везучий;PSTV;2.5
красивейший;PSTV;2.5
просвещение;PSTV;2.5
награда;PSTV;2.5
спокойная ночь;PSTV;2.5
образцовая жена;PSTV;2.5
сёрфинг;PSTV;2.5
сердце радуется;PSTV;2.5
спортивные;PSTV;2.5
счастливое детство;PSTV;2.5
одобрение;PSTV;2.5
уплетать;PSTV;2.5
зоркость;PSTV;2.5
путешественница;PSTV;2.5
честность;PSTV;2.5
любимое;PSTV;2.5
этичность;PSTV;2.5
проясниться;PSTV;2.5
самопостижение;PSTV;2.5
полегчать;PSTV;2.5
воодушевлённо;PSTV;2.5
свитер;PSTV;2.5
внутренняя сила;PSTV;2.5
волшебная книга;PSTV;2.5
престиж;PSTV;2.5
художник своего дела;PSTV;2.5
остросюжетный;PSTV;2.5
сады Семирамиды;PSTV;2.5
золотая медаль;PSTV;2.5
одарённость;PSTV;2.5
рекордный;PSTV;2.5
мощнейший;PSTV;2.5
результативно;PSTV;2.5
доходчивость;PSTV;2.5
Пегас;PSTV;2.5
испытывать торжество;PSTV;2.5
понежиться;PSTV;2.5
является;PSTV;2.5
шеф повар;PSTV;2.5
проблем нет;PSTV;2.5
здоровье;PSTV;2.5
раскрепощаться;PSTV;2.5
воздушное;PSTV;2.5
сильный;PSTV;2.5
легко на душе;PSTV;2.5
блистать;PSTV;2.5
с лёгким сердцем;PSTV;2.5
приходить в нормальное состояние;PSTV;2.5
чуткость;PSTV;2.5
улаживаться;PSTV;2.5
на ура;PSTV;2.5
братишка;PSTV;2.5
искренние поздравления;PSTV;2.5
чудесный;PSTV;2.5
высокоурожайный;PSTV;2.5
живёт;PSTV;2.5
