term;tag;value;pstv;neut;ngtv;dunno;distortion
августовский;NEUT;0.0357;0.1613;0.5806;0.0645;0.1935;0.0903
авиабилет;NEUT;0.069;0.2037;0.6667;0.037;0.0926;0.0438
авиагородок;NEUT;0.2358;0.25;0.5192;0.0385;0.1923;0.0444
авиакасса;NEUT;0.1699;0.23;0.57;0.03;0.17;0.0339
авиакатастрофа;NGTV;-0.9828;0.0769;0.1923;0.7308;0.0;0.085
авиакомпания;NEUT;0.3293;0.3366;0.5446;0.0693;0.0495;0.0836
авиаконструктор;NEUT;0.4179;0.3942;0.5;0.0288;0.0769;0.031
авиакрыло;NEUT;0.0;0.16;0.68;0.0;0.16;0.0
авиалиния;NEUT;0.0;0.16;0.64;0.0;0.2;0.0
авиапарк;NEUT;0.3333;0.3;0.48;0.04;0.18;0.0453
авиаперелёт;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
авиапочта;NEUT;0.1;0.1786;0.5357;0.0357;0.25;0.0429
авиарейс;NEUT;0.0;0.16;0.72;0.0;0.12;0.0
авиасалон;NEUT;0.2636;0.28;0.54;0.04;0.14;0.0457
авиатранспорт;NEUT;0.2984;0.33;0.58;0.02;0.07;0.0212
авиационный;NEUT;0.0;0.1613;0.7419;0.0;0.0968;0.0
авиация;NEUT;0.3378;0.3069;0.4851;0.099;0.1089;0.1309
авитаминоз;NGTV;-1.0;0.0;0.12;0.8;0.08;0.0
авокадо;NEUT;0.4512;0.39;0.45;0.05;0.11;0.0564
австралиец;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
австралийский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
австрийский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
авто;NEUT;0.0806;0.1714;0.5429;0.0286;0.2571;0.0333
автобиография;NEUT;0.2742;0.3107;0.5825;0.0291;0.0777;0.0319
автобус;NEUT;0.051;0.2143;0.7381;0.0476;0.0;0.0582
автобусный;NEUT;0.0;0.1481;0.7037;0.037;0.1111;0.0463
автовладелец;NEUT;0.4141;0.39;0.5;0.06;0.05;0.0692
автовокзал;NEUT;0.0357;0.2;0.72;0.04;0.04;0.048
автогонка;NEUT;0.0357;0.1852;0.6667;0.037;0.1111;0.0444
автогонки;NEUT;0.3532;0.3069;0.4653;0.0891;0.1386;0.115
автограф;NEUT;0.4091;0.4;0.52;0.04;0.04;0.044
автодорога;NEUT;0.0;0.0741;0.8519;0.0;0.0741;0.0
автодорожный;NEUT;0.0;0.08;0.72;0.0;0.2;0.0
автодром;NEUT;0.2909;0.2843;0.5098;0.0686;0.1373;0.0852
автозаправка;NEUT;0.0;0.08;0.72;0.0;0.2;0.0
автозаправочный;NEUT;0.0;0.16;0.72;0.04;0.08;0.05
автокатастрофа;NGTV;-1.0;0.0;0.16;0.8;0.04;0.0
автоклуб;NEUT;0.069;0.2;0.6545;0.0727;0.0727;0.0992
автокресло;NEUT;0.374;0.3663;0.5248;0.0099;0.099;0.0102
автоледи;NEUT;0.2235;0.22;0.43;0.12;0.23;0.1855
автолюбитель;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
автомагазин;NEUT;0.2317;0.2913;0.6117;0.0291;0.068;0.032
автомагистраль;NEUT;0.0;0.16;0.68;0.0;0.16;0.0
автомагнитола;NEUT;0.1632;0.21;0.53;0.02;0.24;0.0219
автомат;NEUT;-0.1094;0.1288;0.5758;0.197;0.0985;0.213
автоматизация;NEUT;0.5;0.4158;0.4158;0.0198;0.1485;0.0207
автоматизировать;NEUT;0.413;0.35;0.45;0.06;0.14;0.0703
автоматически;NEUT;0.0172;0.2;0.76;0.04;0.0;0.048
автоматический;NEUT;0.0;0.1923;0.7692;0.0;0.0385;0.0
автоматный;NEUT;0.117;0.1782;0.4653;0.1287;0.2277;0.2217
автоматчик;NEUT;-0.1682;0.17;0.42;0.26;0.15;0.2812
автомашина;NEUT;0.2846;0.3178;0.5794;0.0467;0.0561;0.0536
автомобилестроение;NEUT;0.3605;0.3524;0.5238;0.0286;0.0952;0.0309
автомобилестроительный;NEUT;0.0714;0.186;0.6047;0.0698;0.1395;0.0959
автомобилист;NEUT;0.0;0.12;0.76;0.0;0.12;0.0
автомобиль;NEUT;0.3203;0.3302;0.5472;0.0566;0.066;0.0663
автомобильный;NEUT;0.1;0.2267;0.68;0.0267;0.0667;0.0298
автомобильчик;NEUT;0.4919;0.402;0.4118;0.098;0.0882;0.122
автомойка;NEUT;0.1;0.2143;0.6429;0.0476;0.0952;0.0582
автономизация;NEUT;0.31;0.2673;0.4554;0.0;0.2772;0.0
автономный;NEUT;0.0;0.0741;0.7407;0.037;0.1481;0.0556
автопарк;NEUT;0.25;0.2647;0.5294;0.0588;0.1471;0.0719
автопилот;NEUT;0.3254;0.325;0.5313;0.0938;0.05;0.1208
автопортрет;NEUT;0.0;0.16;0.72;0.04;0.08;0.05
автопробег;NEUT;0.2742;0.2857;0.5357;0.0982;0.0804;0.132
автопроизводитель;NEUT;0.3333;0.35;0.56;0.02;0.07;0.0211
автор;NEUT;0.2606;0.3;0.5833;0.05;0.0667;0.0583
авторитет;PSTV;0.9;0.566;0.1887;0.0755;0.1698;0.0855
авторитетность;PSTV;0.9;0.6923;0.2308;0.0769;0.0;0.0855
авторитетный;PSTV;1.0;0.75;0.1786;0.0357;0.0357;0.0374
авторский;NEUT;0.3958;0.3496;0.4715;0.0732;0.1057;0.0885
авторство;NEUT;0.5234;0.38;0.34;0.1;0.18;0.1263
авторучка;NEUT;0.2304;0.28;0.59;0.05;0.08;0.0589
авторынок;NEUT;0.0;0.0345;0.8966;0.0;0.069;0.0
автосалон;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
автосервис;NEUT;0.25;0.2885;0.5769;0.0192;0.1154;0.0205
автоспорт;NEUT;0.412;0.3725;0.4804;0.0686;0.0784;0.0813
автостанция;NEUT;0.1699;0.23;0.57;0.06;0.14;0.0757
автостоп;NEUT;0.0;0.1613;0.6452;0.0;0.1935;0.0
автотранспорт;NEUT;0.4194;0.3725;0.4706;0.0392;0.1176;0.0433
автотранспортный;NEUT;0.0;0.12;0.72;0.04;0.12;0.0533
автоугонщик;NGTV;-1.0;0.0357;0.1071;0.8571;0.0;0.0372
автоцентр;NEUT;0.0556;0.2;0.68;0.04;0.08;0.048
автошкола;NEUT;0.3849;0.4059;0.5644;0.0099;0.0198;0.0101
агент;NEUT;0.0357;0.1786;0.6429;0.0714;0.1071;0.1
агентка;NEUT;0.0862;0.1683;0.5248;0.1188;0.1881;0.2027
агентский;NEUT;0.0;0.04;0.6;0.12;0.24;0.0533
агентство;NEUT;0.0833;0.1972;0.6197;0.0704;0.1127;0.0956
агентша;NEUT;0.0422;0.1471;0.5196;0.1275;0.2059;0.2379
агитировать;NEUT;0.0548;0.217;0.4434;0.1887;0.1509;0.3527
агония;NGTV;-1.0;0.0385;0.1154;0.5769;0.2692;0.041
агрессивность;NGTV;-1.0;0.08;0.12;0.76;0.04;0.0884
агрессивный;NGTV;-1.0;0.0385;0.0769;0.8846;0.0;0.0401
агрессия;NGTV;-1.0;0.04;0.08;0.8;0.08;0.042
агроном;NEUT;0.2984;0.3084;0.5421;0.0187;0.1308;0.0198
адаптационный;NEUT;0.431;0.3564;0.4356;0.0693;0.1386;0.0828
адаптация;PSTV;0.5952;0.4808;0.3654;0.0385;0.1154;0.0415
адаптировать;PSTV;0.9194;0.7037;0.2222;0.037;0.037;0.039
адвокат;NEUT;0.2815;0.31;0.57;0.05;0.07;0.0581
адвокатский;NEUT;0.1;0.2188;0.6563;0.0;0.125;0.0
адвокатура;NEUT;0.2813;0.2451;0.451;0.0686;0.2353;0.0878
адекватность;PSTV;0.9706;0.7857;0.2143;0.0;0.0;0.0
адекватный;PSTV;1.0;0.8077;0.0769;0.0769;0.0385;0.0842
аджика;NEUT;0.2341;0.2549;0.4412;0.1373;0.1667;0.2112
адидас;NEUT;0.1216;0.1949;0.5508;0.1271;0.1271;0.21
админ;NEUT;0.199;0.24;0.55;0.07;0.14;0.0904
административный;NEUT;0.0;0.1538;0.6923;0.0385;0.1154;0.0481
администратор;NEUT;0.2909;0.2871;0.5149;0.0495;0.1485;0.058
администраторский;NEUT;0.0;0.08;0.8;0.04;0.08;0.06
администраторша;NEUT;0.0796;0.2079;0.4851;0.1683;0.1386;0.3046
администрация;NEUT;0.1729;0.24;0.59;0.08;0.09;0.1067
адмирал;NEUT;0.45;0.3762;0.4356;0.0891;0.099;0.1102
адреналин;PSTV;0.6282;0.49;0.34;0.05;0.12;0.0551
адрес;NEUT;0.0;0.16;0.72;0.04;0.08;0.05
адресный;NEUT;0.0;0.16;0.76;0.04;0.04;0.05
адресовать;NEUT;0.0806;0.2143;0.6786;0.0357;0.0714;0.0417
адресок;NEUT;0.0769;0.1724;0.5517;0.069;0.2069;0.0966
адски;NGTV;-1.0;0.0;0.0769;0.8846;0.0385;0.0
адский;NGTV;-1.0;0.04;0.12;0.84;0.0;0.0419
ажиотаж;NEUT;0.0769;0.1923;0.6154;0.0385;0.1538;0.0462
азарт;NEUT;-0.1448;0.1619;0.5048;0.2381;0.0952;0.272
азартный;NGTV;-0.5893;0.11;0.34;0.44;0.11;0.1375
азбука;NEUT;0.5373;0.48;0.43;0.03;0.06;0.0319
азербайджанец;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
азербайджанский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
азиат;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
азиатский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
азот;NEUT;0.0;0.1333;0.7;0.0667;0.1;0.1
аист;PSTV;0.6;0.5149;0.3861;0.0297;0.0693;0.0314
айкидо;NEUT;0.1;0.2;0.6;0.0667;0.1333;0.0889
айсберг;NEUT;0.0;0.1345;0.5798;0.1092;0.1765;0.198
айтишник;NEUT;0.0;0.1333;0.6333;0.0667;0.1667;0.1
айфон;NEUT;0.3017;0.31;0.54;0.08;0.07;0.1006
академгородок;NEUT;0.4208;0.31;0.39;0.04;0.26;0.0452
академик;PSTV;0.5559;0.5;0.4245;0.066;0.0094;0.0748
академический;NEUT;0.388;0.3627;0.5;0.049;0.0882;0.0556
академия;PSTV;0.5579;0.45;0.38;0.08;0.09;0.0942
акация;NEUT;0.4583;0.422;0.4771;0.0;0.1009;0.0
акваланг;NEUT;0.4023;0.3883;0.5146;0.0194;0.0777;0.0204
аквалангист;NEUT;0.0806;0.24;0.76;0.0;0.0;0.0
аквамарин;NEUT;0.3;0.28;0.49;0.05;0.18;0.0589
аквапарк;PSTV;0.7881;0.6139;0.2772;0.0495;0.0594;0.0535
акварель;NEUT;0.4462;0.4059;0.4752;0.0297;0.0891;0.0319
акварельный;NEUT;0.3974;0.35;0.47;0.02;0.16;0.0211
аквариум;NEUT;0.0;0.0882;0.7353;0.0588;0.1176;0.098
аквариумный;NEUT;0.0172;0.1923;0.7308;0.0;0.0769;0.0
аккаунт;NEUT;0.1;0.1702;0.5106;0.0426;0.2766;0.0532
аккорд;NEUT;0.4328;0.37;0.45;0.01;0.17;0.0103
аккордеон;NEUT;0.3496;0.32;0.49;0.05;0.14;0.0578
аккумулирование;NEUT;0.4652;0.37;0.41;0.07;0.15;0.0832
аккумулятор;NEUT;0.0833;0.2;0.6286;0.0286;0.1429;0.0327
аккуратненький;PSTV;1.0;0.72;0.16;0.0;0.12;0.0
аккуратненько;PSTV;0.9828;0.76;0.2;0.04;0.0;0.0421
аккуратность;PSTV;1.0;0.76;0.16;0.0;0.08;0.0
аккуратный;PSTV;1.0;0.8846;0.1154;0.0;0.0;0.0
акробат;NEUT;0.434;0.3267;0.396;0.099;0.1782;0.129
акробатика;NEUT;0.3244;0.3529;0.5784;0.0098;0.0588;0.0101
акробатически;NEUT;0.3889;0.3846;0.5288;0.0385;0.0481;0.0423
акробатический;NEUT;0.316;0.3333;0.5588;0.0392;0.0686;0.0438
акробатка;NEUT;0.4213;0.3786;0.4757;0.068;0.0777;0.0802
аксессуар;NEUT;0.3824;0.3846;0.5385;0.0288;0.0481;0.031
акт;NEUT;0.1346;0.2157;0.5882;0.0784;0.1176;0.107
актив;PSTV;0.886;0.6235;0.216;0.0309;0.1296;0.0324
активация;NEUT;0.4375;0.381;0.4571;0.0571;0.1048;0.0657
активизироваться;PSTV;0.7051;0.5446;0.3069;0.0495;0.099;0.054
активизм;PSTV;0.7653;0.5;0.24;0.06;0.2;0.0672
активирование;NEUT;0.3952;0.37;0.5;0.04;0.09;0.0443
активировать;NEUT;0.4556;0.3981;0.4537;0.0833;0.0648;0.1008
активист;PSTV;1.0;0.72;0.16;0.04;0.08;0.0422
активистка;PSTV;0.84;0.5437;0.2136;0.1068;0.1359;0.1278
активность;PSTV;0.8158;0.62;0.26;0.05;0.07;0.054
активный;PSTV;1.0;0.72;0.16;0.04;0.08;0.0422
актриса;NEUT;0.3678;0.35;0.51;0.03;0.11;0.0326
актуализироваться;PSTV;0.5556;0.4;0.34;0.03;0.23;0.0323
актуальность;PSTV;1.0;0.84;0.08;0.0;0.08;0.0
актуальный;PSTV;0.8;0.6275;0.2745;0.0392;0.0588;0.0417
актёр;NEUT;0.4778;0.4314;0.4608;0.0196;0.0882;0.0205
актёрский;NEUT;0.3136;0.32;0.54;0.06;0.08;0.0713
актёрство;NEUT;0.4643;0.4455;0.495;0.0297;0.0297;0.0317
акула;NEUT;-0.2534;0.1333;0.5048;0.2667;0.0952;0.2
акустический;NEUT;0.0;0.1071;0.7143;0.0;0.1786;0.0
акушер;NEUT;0.4545;0.35;0.4;0.08;0.17;0.0983
акушерка;NEUT;0.5179;0.4;0.35;0.11;0.14;0.1403
акцент;NEUT;0.0625;0.2143;0.7143;0.0;0.0714;0.0
акцентирование;NEUT;0.4029;0.3069;0.4059;0.0693;0.2178;0.085
акцентировать;NEUT;0.2311;0.2762;0.581;0.019;0.1238;0.0204
акция;PSTV;0.6022;0.5093;0.3796;0.0463;0.0648;0.0505
алгебра;NEUT;0.0702;0.25;0.44;0.21;0.1;0.3864
алгебраический;NEUT;0.1;0.24;0.72;0.0;0.04;0.0
алгоритм;NEUT;0.0;0.16;0.64;0.04;0.16;0.05
аленький;PSTV;0.9179;0.7069;0.2241;0.0345;0.0345;0.0362
алкашка;NGTV;-1.0;0.08;0.0;0.88;0.04;0.0873
алкоголизм;NGTV;-0.9828;0.0;0.2;0.76;0.04;0.0
алкоголичка;NGTV;-0.9146;0.0294;0.2353;0.7353;0.0;0.0306
алкогольный;NGTV;-0.686;0.0577;0.3365;0.5673;0.0385;0.0636
алконавт;NGTV;-1.0;0.08;0.12;0.68;0.12;0.0894
аллах;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
аллегорически;NEUT;0.1404;0.1863;0.5;0.098;0.2157;0.1496
аллергический;NGTV;-0.7241;0.05;0.3;0.56;0.09;0.0545
аллергия;NGTV;-1.0;0.0667;0.1333;0.7333;0.0667;0.0727
аллея;NEUT;0.4762;0.41;0.44;0.06;0.09;0.0688
аллигатор;NEUT;-0.2009;0.1584;0.4653;0.2673;0.1089;0.2523
алмаз;PSTV;0.66;0.5238;0.3333;0.0571;0.0857;0.0634
алмазик;NEUT;0.4744;0.3762;0.4059;0.0594;0.1584;0.0688
алмазный;NEUT;0.4706;0.4272;0.466;0.0291;0.0777;0.0311
алогичность;NEUT;-0.3462;0.1333;0.2857;0.3048;0.2762;0.1917
алогичный;NGTV;-0.3585;0.125;0.3077;0.3077;0.2596;0.1758
алоэ;NEUT;0.3136;0.3137;0.5294;0.049;0.1078;0.0567
алтайский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
алтын;NEUT;0.4184;0.3;0.38;0.08;0.24;0.1013
алфавит;PSTV;0.5571;0.5098;0.4314;0.0392;0.0196;0.0422
алфавитный;NEUT;0.1;0.1915;0.5745;0.0426;0.1915;0.052
алхимия;NEUT;0.2857;0.2772;0.4554;0.1287;0.1386;0.1885
алый;NEUT;0.3015;0.3182;0.5545;0.0636;0.0636;0.0764
алыча;NEUT;0.4459;0.35;0.41;0.01;0.23;0.0103
альбинос;NEUT;0.201;0.233;0.4563;0.1359;0.1748;0.2152
альбомный;NEUT;0.0;0.04;0.84;0.08;0.04;0.06
альбомчик;PSTV;0.5656;0.451;0.3725;0.0294;0.1471;0.0313
альпинизм;NEUT;0.1;0.2;0.6;0.0286;0.1714;0.0327
альпинист;NEUT;0.3644;0.34;0.5;0.03;0.13;0.0326
альпинистка;NEUT;0.4435;0.3861;0.4554;0.0495;0.1089;0.0559
альпинистский;NEUT;0.0;0.1154;0.6154;0.0385;0.2308;0.0513
альтернатива;NEUT;0.5213;0.4623;0.434;0.0283;0.0755;0.03
альтернативный;NEUT;0.3067;0.32;0.55;0.03;0.1;0.0328
альтруизм;PSTV;0.7921;0.4653;0.2079;0.0693;0.2574;0.0796
альфа;NEUT;0.3788;0.29;0.41;0.05;0.25;0.0586
альянс;NEUT;0.4767;0.35;0.375;0.0667;0.2083;0.0794
алюминиевый;NEUT;0.0;0.1081;0.6486;0.0541;0.1892;0.0811
алюминий;NEUT;0.1509;0.2277;0.5941;0.0693;0.1089;0.0904
амазонка;NEUT;0.3036;0.3;0.52;0.11;0.07;0.1503
амбал;NGTV;-0.6818;0.07;0.3;0.5;0.13;0.0798
амбиция;NEUT;0.4727;0.44;0.26;0.18;0.12;0.2536
американец;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
американизация;NEUT;0.0;0.0;0.72;0.16;0.12;0.0
американка;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
американский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
аморальность;NGTV;-1.0;0.0571;0.0857;0.7429;0.1143;0.0615
аморальный;NGTV;-1.0;0.08;0.04;0.8;0.08;0.088
амплитуда;NEUT;0.0;0.1333;0.5333;0.0667;0.2667;0.1
амулет;PSTV;0.6081;0.45;0.33;0.09;0.13;0.108
анализ;NEUT;0.3952;0.3663;0.495;0.0297;0.1089;0.0321
анализирование;NEUT;0.5075;0.4327;0.4231;0.0192;0.125;0.0201
анализировать;PSTV;0.5859;0.5;0.39;0.01;0.1;0.0102
аналог;NEUT;0.199;0.2376;0.5446;0.0495;0.1683;0.0598
аналогичность;NEUT;0.2091;0.2524;0.5631;0.068;0.1165;0.0863
аналогичный;NEUT;0.1111;0.22;0.64;0.03;0.11;0.0341
анальгин;NEUT;0.2576;0.2451;0.4804;0.0784;0.1961;0.1035
ананас;NEUT;0.4857;0.4381;0.4571;0.0286;0.0762;0.0304
ананасовый;NEUT;0.4231;0.396;0.495;0.0198;0.0891;0.0208
анархистский;NGTV;-0.6308;0.0693;0.3069;0.4455;0.1782;0.0801
анархия;NGTV;-0.7;0.06;0.28;0.49;0.17;0.0673
анатомия;NEUT;0.1;0.2069;0.6207;0.0345;0.1379;0.0402
ангар;NEUT;0.0;0.1316;0.6579;0.0658;0.1447;0.0987
ангел;PSTV;1.0;0.92;0.08;0.0;0.0;0.0
ангелок;PSTV;1.0;0.8276;0.0345;0.069;0.069;0.0747
ангелочек;PSTV;1.0;0.92;0.08;0.0;0.0;0.0
ангельски;PSTV;1.0;0.8846;0.0385;0.0;0.0769;0.0
ангина;NGTV;-0.9;0.0833;0.2222;0.6667;0.0278;0.0938
английский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
англичанин;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
англичанка;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
андроид;NEUT;0.0172;0.1724;0.6552;0.069;0.1034;0.0966
анекдот;PSTV;1.0;0.8077;0.1923;0.0;0.0;0.0
аниматор;NEUT;0.5079;0.4257;0.4158;0.0396;0.1188;0.0433
анимация;NEUT;0.34;0.3465;0.5446;0.0198;0.0891;0.0209
аниме;NEUT;0.2419;0.2735;0.4444;0.1453;0.1368;0.2225
анкета;NEUT;0.0;0.0857;0.8;0.0571;0.0571;0.0952
анкетирование;NEUT;0.0;0.0385;0.6923;0.0769;0.1923;0.0577
аннулировать;NGTV;-0.5;0.09;0.4;0.4;0.11;0.1103
аномалия;NGTV;-0.5;0.0909;0.4182;0.4182;0.0727;0.1107
аномальность;NGTV;-0.575;0.1;0.37;0.46;0.07;0.1217
аномальный;NGTV;-0.543;0.1089;0.3366;0.4059;0.1485;0.1381
аноним;NEUT;0.0;0.1471;0.6373;0.1471;0.0686;0.2941
анонимка;NEUT;-0.2778;0.09;0.52;0.28;0.11;0.1189
анонимность;NEUT;0.0;0.1628;0.7093;0.0698;0.0581;0.0997
анонимный;NEUT;0.0;0.12;0.76;0.04;0.08;0.0533
анорексия;NGTV;-1.0;0.0;0.1111;0.8148;0.0741;0.0
ансамбль;NEUT;0.4851;0.4314;0.451;0.0294;0.0882;0.0314
антагонист;NGTV;-0.7247;0.0667;0.219;0.4095;0.3048;0.0775
антагонистический;NGTV;-0.6515;0.0577;0.2692;0.4135;0.2596;0.0657
антарктический;NEUT;0.0;0.1485;0.6337;0.0891;0.1287;0.1426
антеннка;NEUT;0.2419;0.2277;0.4653;0.0792;0.2277;0.1068
антибактериальный;PSTV;0.7091;0.52;0.29;0.12;0.07;0.1477
антибиотик;NEUT;0.4512;0.39;0.45;0.07;0.09;0.0826
антивирус;PSTV;1.0;0.76;0.16;0.08;0.0;0.0884
антивоенный;PSTV;0.6667;0.4902;0.2451;0.1471;0.1176;0.1912
антигерой;NGTV;-0.8421;0.0495;0.2475;0.6337;0.0693;0.0534
антидепрессант;NEUT;0.1255;0.3069;0.3861;0.2277;0.0792;0.3967
антиквариат;NEUT;0.436;0.39;0.47;0.04;0.1;0.0441
антикварный;NEUT;0.3473;0.3663;0.5644;0.0198;0.0495;0.0209
антилопа;NEUT;0.371;0.3564;0.5149;0.0396;0.0891;0.044
антинаучный;NGTV;-0.7018;0.1188;0.2871;0.505;0.0891;0.1468
антиправительственный;NGTV;-0.4344;0.1667;0.2745;0.402;0.1569;0.2358
антирелигиозный;NEUT;-0.2575;0.1683;0.3663;0.3168;0.1485;0.2577
антисанитария;NGTV;-1.0;0.08;0.12;0.68;0.12;0.0894
антисептик;PSTV;0.6463;0.5196;0.3431;0.0588;0.0784;0.0655
антоним;NEUT;0.0;0.0;0.72;0.12;0.16;0.0
анфас;NEUT;0.0;0.0714;0.5476;0.0476;0.3333;0.0794
апартаменты;NEUT;0.4344;0.38;0.46;0.03;0.13;0.0324
апельсин;NEUT;0.4286;0.3861;0.4752;0.0891;0.0495;0.1097
апельсинный;NEUT;0.3361;0.34;0.54;0.02;0.1;0.0212
апельсиновый;NEUT;0.5373;0.4752;0.4257;0.0396;0.0594;0.0429
аплодировать;PSTV;1.0;0.84;0.12;0.0;0.04;0.0
аплодисменты;PSTV;1.0;0.7308;0.1154;0.0769;0.0769;0.085
апогей;NEUT;0.12;0.2255;0.3922;0.1667;0.2157;0.2899
апокалипсис;NGTV;-1.0;0.0667;0.0;0.9333;0.0;0.0714
апорт;NEUT;0.2097;0.2115;0.4712;0.0769;0.2404;0.1049
апостол;PSTV;0.6089;0.41;0.3;0.09;0.2;0.1098
апостроф;NEUT;0.1;0.1818;0.5455;0.0682;0.2045;0.0938
аппарат;NEUT;0.2368;0.2617;0.5421;0.0561;0.1402;0.0681
аппаратура;NEUT;0.1;0.2222;0.6667;0.0;0.1111;0.0
аппендикс;NGTV;-0.3532;0.1;0.47;0.31;0.12;0.1323
аппетит;PSTV;0.6304;0.537;0.3704;0.0185;0.0741;0.0192
аппетитность;PSTV;0.8365;0.58;0.23;0.04;0.15;0.0428
аппетитный;PSTV;1.0;0.8;0.12;0.0;0.08;0.0
аппликатор;NEUT;0.3529;0.29;0.44;0.04;0.23;0.0455
аппликация;NEUT;0.4174;0.3524;0.4476;0.0571;0.1429;0.0664
апрель;NEUT;0.1923;0.2673;0.6238;0.0594;0.0495;0.0726
апрельский;NEUT;0.2805;0.3168;0.5842;0.0495;0.0495;0.0572
аптека;NEUT;0.4923;0.4216;0.4314;0.0882;0.0588;0.1067
аптекарша;NEUT;0.4034;0.36;0.46;0.12;0.06;0.16
аптекарь;NEUT;0.4692;0.42;0.46;0.05;0.07;0.056
аптечка;PSTV;0.6395;0.55;0.37;0.04;0.04;0.0429
аптечный;NEUT;0.0;0.08;0.8;0.04;0.08;0.06
араб;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
арабика;NEUT;0.0556;0.1852;0.6296;0.0;0.1852;0.0
арабский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
арахис;NEUT;0.4;0.36;0.48;0.03;0.13;0.0325
арахисовый;NEUT;0.2105;0.2673;0.5941;0.0495;0.0891;0.0587
арбалетчик;NEUT;0.0;0.13;0.57;0.11;0.19;0.2031
арбуз;NEUT;0.5444;0.4712;0.4135;0.0096;0.1058;0.0098
арбузный;NEUT;0.2436;0.2871;0.5842;0.0;0.1287;0.0
аргумент;NEUT;0.5;0.42;0.42;0.09;0.07;0.1093
аргументированно;NEUT;0.4535;0.4059;0.4653;0.0495;0.0792;0.0555
