slice;term;answer;ratio
TEZ:REL_TYPE;ананас/плод;VERTICAL;1.0
TEZ:REL_TYPE;ананас/растение;VERTICAL;1.0
TEZ:REL_TYPE;ананас/ягода;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;ананасовый сок;FOOD;1.0
TEZ:REL_TYPE;анатомия/наука;VERTICAL;0.7333
TEZ:REL_TYPE;ангар/помещение;VERTICAL;1.0
CLASS:KIN;ангел;NO;1.0
CLASS:BT/DISHES/FOOD;антрекот;FOOD;1.0
TEZ:REL_TYPE;апельсин/еда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;апельсиновая кожура;FOOD;1.0
CLASS:BT/DISHES/FOOD;апельсиновая корка;FOOD;1.0
CLASS:BT/DISHES/FOOD;апельсиновые корки;FOOD;1.0
CLASS:BT/DISHES/FOOD;апельсиновый сок;FOOD;1.0
CLASS:BT/DISHES/FOOD;аппетитный аромат;FOOD;1.0
CLASS:WEATHER;апрельское солнце;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;арахисовое масло;FOOD;1.0
TEZ:REL_TYPE;арбуз/еда;VERTICAL;1.0
TEZ:REL_TYPE;арбуз/растение;VERTICAL;1.0
TEZ:REL_TYPE;арбуз/ягода;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;ароматное вино;FOOD;1.0
CLASS:BT/DISHES/FOOD;ароматный кофе;FOOD;1.0
CLASS:BT/DISHES/FOOD;ароматный напиток;FOOD;1.0
CLASS:BT/DISHES/FOOD;ароматный чай;FOOD;1.0
TEZ:REL_TYPE;архитектор/профессия;VERTICAL;1.0
TEZ:REL_TYPE;архитектор/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;ассорти;FOOD;1.0
TEZ:REL_TYPE;астрономия/книга;PART/WHOLE;0.9091
TEZ:REL_TYPE;астрономия/наука;VERTICAL;0.7333
TEZ:REL_TYPE;атом/наука;VERTICAL;0.7143
CLASS:KIN;бабка;YES;0.6792
TEZ:REL_TYPE;бабуля/родственник;VERTICAL;0.95
TEZ:REL_TYPE;бабуля/человек;VERTICAL;1.0
CLASS:KIN;бабушка;YES;1.0
TEZ:REL_TYPE;бабушка/родственник;VERTICAL;1.0
TEZ:REL_TYPE;бабушка/человек;VERTICAL;1.0
CLASS:WEATHER;бабье лето;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;багет;FOOD;1.0
CLASS:WEATHER;багровое зарево;GOOD_WEATHER;0.9231
CLASS:WEATHER;багровое солнце;GOOD_WEATHER;1.0
CLASS:WEATHER;багровые отблески;GOOD_WEATHER;1.0
CLASS:WEATHER;багровые сполохи;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;бадья;DISHES;1.0
CLASS:BT/DISHES/FOOD;баклажанная икра;FOOD;1.0
TEZ:REL_TYPE;банан/еда;VERTICAL;0.9565
TEZ:REL_TYPE;банан/плод;VERTICAL;1.0
TEZ:REL_TYPE;банан/растение;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;банка;DISHES;1.0
CLASS:BT/DISHES/FOOD;банки;DISHES;1.0
TEZ:REL_TYPE;банкир/профессия;VERTICAL;1.0
TEZ:REL_TYPE;банкир/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;баночка;DISHES;1.0
CLASS:BT/DISHES/FOOD;баночное пиво;FOOD;1.0
TEZ:REL_TYPE;барабан/инструмент;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;баранье сало;FOOD;1.0
CLASS:BT/DISHES/FOOD;баранья лопатка;FOOD;1.0
CLASS:BT/DISHES/FOOD;баранья нога;FOOD;1.0
CLASS:WEATHER;барашки;GOOD_WEATHER;1.0
TEZ:REL_TYPE;басня/жанр;VERTICAL;1.0
TEZ:REL_TYPE;басня/книга;VERTICAL;0.7
CLASS:BT/DISHES/FOOD;батончик;FOOD;1.0
CLASS:BT/DISHES/FOOD;батончики;FOOD;1.0
TEZ:REL_TYPE;батя/родственник;VERTICAL;1.0
TEZ:REL_TYPE;батя/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;бачок;BT;0.9091
CLASS:MOVE;бег;YES;1.0
CLASS:MOVE;бегать;YES;1.0
CLASS:MOVE;беглянка;NO;1.0
CLASS:MOVE;беготня;YES;1.0
CLASS:KIN;бедная родственница;NO;0.7143
CLASS:KIN;бедное дитя;NO;1.0
CLASS:KIN;бедный мальчик;NO;1.0
CLASS:MOVE;бежать;YES;1.0
CLASS:BT/DISHES/FOOD;безалкогольное пиво;FOOD;1.0
CLASS:WEATHER;безветренная погода;GOOD_WEATHER;1.0
CLASS:WEATHER;безветренный день;GOOD_WEATHER;1.0
CLASS:WEATHER;безветрие;GOOD_WEATHER;1.0
CLASS:KIN;безвременная смерть;NO;1.0
CLASS:MOVE;бездействовать;NO;1.0
CLASS:WEATHER;бездонная синева;GOOD_WEATHER;1.0
CLASS:WEATHER;бездонное небо;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;безе;FOOD;1.0
CLASS:WEATHER;безоблачная погода;GOOD_WEATHER;1.0
CLASS:WEATHER;безоблачное небо;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;бекон;FOOD;1.0
CLASS:WEATHER;белая пелена;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;белое вино;FOOD;1.0
CLASS:WEATHER;белое облако;GOOD_WEATHER;1.0
CLASS:WEATHER;белое облачко;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;белок;FOOD;0.9804
CLASS:WEATHER;белые барашки;GOOD_WEATHER;0.9444
CLASS:WEATHER;белые облака;GOOD_WEATHER;1.0
CLASS:WEATHER;белые облачка;GOOD_WEATHER;1.0
TEZ:REL_TYPE;бельё/одежда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;беляш;FOOD;1.0
CLASS:WEATHER;белёсый туман;BAD_WEATHER;1.0
TEZ:REL_TYPE;бензин/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;бензин/транспорт;PART/WHOLE;0.9333
TEZ:REL_TYPE;берлога/жилище;SYN;0.8333
TEZ:REL_TYPE;берлога/зимовка;VERTICAL;1.0
TEZ:REL_TYPE;берлога/логово;SYN;1.0
TEZ:REL_TYPE;берёза/дерево;VERTICAL;1.0
TEZ:REL_TYPE;берёза/растение;VERTICAL;0.9545
CLASS:MOVE;беспокоиться;NO;0.9231
TEZ:REL_TYPE;беспокойство/переживание;SYN;0.7143
TEZ:REL_TYPE;беспокойство/чувство;VERTICAL;1.0
CLASS:WEATHER;беспросветная мгла;BAD_WEATHER;1.0
CLASS:KIN;бесчестный поступок;NO;1.0
CLASS:BT/DISHES/FOOD;бефстроганов;FOOD;1.0
TEZ:REL_TYPE;библиотека/текст;PART/WHOLE;1.0
TEZ:REL_TYPE;библия/книга;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;бидончик;DISHES;1.0
TEZ:REL_TYPE;билет/место;VERTICAL;1.0
TEZ:REL_TYPE;билет/транспорт;PART/WHOLE;1.0
TEZ:REL_TYPE;биология/наука;VERTICAL;1.0
CLASS:WEATHER;бирюзовое небо;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;бисквит;FOOD;1.0
CLASS:BT/DISHES/FOOD;бифштекс;FOOD;1.0
TEZ:REL_TYPE;бифштекс/еда;VERTICAL;1.0
CLASS:WEATHER;благодатное тепло;GOOD_WEATHER;1.0
CLASS:KIN;благодетельница;NO;1.0
CLASS:BT/DISHES/FOOD;благородный напиток;FOOD;1.0
CLASS:KIN;благородный рыцарь;NO;1.0
CLASS:KIN;благословение;NO;1.0
CLASS:WEATHER;бледно-голубое небо;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;блендер;BT;1.0
CLASS:KIN;ближайшая подруга;NO;0.9565
CLASS:KIN;ближайшая родственница;YES;1.0
CLASS:KIN;близкая знакомая;NO;1.0
CLASS:KIN;близкая родня;YES;1.0
CLASS:KIN;близкая родственница;YES;1.0
TEZ:REL_TYPE;близнец/родственник;VERTICAL;1.0
TEZ:REL_TYPE;близнец/человек;VERTICAL;1.0
CLASS:WEATHER;блики;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;блинчик;FOOD;1.0
CLASS:MOVE;блуждать;YES;1.0
TEZ:REL_TYPE;блузка/одежда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;блюда;FOOD;0.8421
CLASS:BT/DISHES/FOOD;блюдце;DISHES;1.0
TEZ:REL_TYPE;блюдце/посуда;VERTICAL;0.7778
CLASS:BT/DISHES/FOOD;бобы;FOOD;1.0
CLASS:KIN;богатое приданое;NO;1.0
CLASS:BT/DISHES/FOOD;бодрящий напиток;FOOD;1.0
TEZ:REL_TYPE;боевик/жанр;VERTICAL;0.9565
CLASS:MOVE;бок;NO;1.0
CLASS:BT/DISHES/FOOD;бокал;DISHES;1.0
TEZ:REL_TYPE;бокал/посуда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;бокальчик;DISHES;1.0
CLASS:MOVE;болтаться;YES;1.0
CLASS:MOVE;больная нога;NO;1.0
CLASS:BT/DISHES/FOOD;большое блюдо;DISHES;1.0
CLASS:MOVE;большое расстояние;NO;1.0
CLASS:BT/DISHES/FOOD;боржом;FOOD;1.0
CLASS:BT/DISHES/FOOD;боржоми;FOOD;1.0
CLASS:MOVE;бормотать;NO;0.7059
TEZ:REL_TYPE;борщ/еда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;бочка;DISHES;1.0
CLASS:BT/DISHES/FOOD;бочонок;DISHES;1.0
CLASS:BT/DISHES/FOOD;бочоночек;DISHES;1.0
CLASS:KIN;брат;YES;1.0
TEZ:REL_TYPE;брат/родственник;VERTICAL;1.0
TEZ:REL_TYPE;брат/человек;VERTICAL;1.0
CLASS:KIN;братец;YES;0.9643
CLASS:KIN;братик;YES;1.0
CLASS:KIN;братья;YES;1.0
CLASS:MOVE;бредить;NO;1.0
CLASS:MOVE;брести;YES;1.0
CLASS:WEATHER;бриз;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;бритвенный станок;BT;1.0
CLASS:MOVE;бродить;YES;1.0
CLASS:BT/DISHES/FOOD;брокколи;FOOD;1.0
CLASS:MOVE;бросать;YES;1.0
CLASS:MOVE;бросаться;YES;1.0
TEZ:REL_TYPE;брусника/ягода;VERTICAL;1.0
CLASS:WEATHER;брызги;BAD_WEATHER;1.0
TEZ:REL_TYPE;брюки/одежда;VERTICAL;1.0
TEZ:REL_TYPE;будка/место;VERTICAL;1.0
CLASS:KIN;будущая невеста;PARTIAL;1.0
CLASS:KIN;будущая невестка;YES;0.7143
CLASS:KIN;будущий зять;YES;1.0
CLASS:BT/DISHES/FOOD;буженина;FOOD;1.0
CLASS:WEATHER;буйные ветры;BAD_WEATHER;1.0
TEZ:REL_TYPE;букварь/книга;VERTICAL;0.9091
TEZ:REL_TYPE;буквы/книга;PART/WHOLE;1.0
TEZ:REL_TYPE;буквы/текст;PART/WHOLE;0.7059
CLASS:BT/DISHES/FOOD;булка;FOOD;1.0
CLASS:BT/DISHES/FOOD;булочка;FOOD;1.0
CLASS:BT/DISHES/FOOD;булочки;FOOD;1.0
CLASS:BT/DISHES/FOOD;бульон;FOOD;1.0
CLASS:BT/DISHES/FOOD;бульонные кубики;FOOD;1.0
CLASS:BT/DISHES/FOOD;бульончик;FOOD;1.0
TEZ:REL_TYPE;бумага/книга;PART/WHOLE;1.0
TEZ:REL_TYPE;бумага/текст;PART/WHOLE;0.9091
CLASS:BT/DISHES/FOOD;бумажные стаканчики;DISHES;1.0
CLASS:BT/DISHES/FOOD;бумажный стаканчик;DISHES;1.0
CLASS:WEATHER;буран;BAD_WEATHER;1.0
CLASS:WEATHER;бураны;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;бургер;FOOD;1.0
CLASS:BT/DISHES/FOOD;бурдючок;DISHES;1.0
CLASS:WEATHER;бури;BAD_WEATHER;1.0
CLASS:WEATHER;бурные потоки;BAD_WEATHER;1.0
CLASS:MOVE;бурчать;NO;1.0
CLASS:WEATHER;буря;BAD_WEATHER;1.0
TEZ:REL_TYPE;бутерброд/еда;VERTICAL;1.0
TEZ:REL_TYPE;бутон/растение;PART/WHOLE;1.0
CLASS:BT/DISHES/FOOD;бутылка;DISHES;1.0
TEZ:REL_TYPE;бутылка/посуда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;бутылки;DISHES;1.0
CLASS:BT/DISHES/FOOD;бутылочка;DISHES;1.0
CLASS:BT/DISHES/FOOD;бутыль;DISHES;1.0
CLASS:BT/DISHES/FOOD;бутылёк;DISHES;1.0
TEZ:REL_TYPE;бухгалтер/профессия;VERTICAL;1.0
TEZ:REL_TYPE;бухгалтер/человек;VERTICAL;1.0
CLASS:WEATHER;бушующая стихия;BAD_WEATHER;1.0
CLASS:KIN;бывшая возлюбленная;NO;1.0
CLASS:BT/DISHES/FOOD;бычьи хвосты;FOOD;1.0
CLASS:BT/DISHES/FOOD;ваза;DISHES;1.0
CLASS:BT/DISHES/FOOD;вазочка;DISHES;1.0
CLASS:BT/DISHES/FOOD;вазы;DISHES;1.0
TEZ:REL_TYPE;валенки/одежда;VERTICAL;1.0
CLASS:MOVE;валиться;YES;1.0
CLASS:BT/DISHES/FOOD;ванильное мороженое;FOOD;1.0
CLASS:BT/DISHES/FOOD;варенье;FOOD;1.0
CLASS:BT/DISHES/FOOD;варёное яйцо;FOOD;1.0
CLASS:BT/DISHES/FOOD;варёные яйца;FOOD;1.0
CLASS:BT/DISHES/FOOD;вафля;FOOD;1.0
CLASS:KIN;вдова;NO;0.9231
CLASS:KIN;вдовство;NO;1.0
CLASS:BT/DISHES/FOOD;ведро;DISHES;1.0
TEZ:REL_TYPE;ведущий/человек;VERTICAL;0.7143
CLASS:KIN;ведьма;NO;1.0
CLASS:BT/DISHES/FOOD;ведёрко;DISHES;1.0
TEZ:REL_TYPE;велосипед/транспорт;VERTICAL;1.0
CLASS:MOVE;веля;YES;1.0
CLASS:MOVE;вериться;NO;1.0
CLASS:BT/DISHES/FOOD;вермут;FOOD;1.0
CLASS:KIN;верная подруга;NO;0.9697
CLASS:KIN;верная помощница;NO;1.0
CLASS:KIN;верная служанка;NO;1.0
CLASS:KIN;верный подданный;NO;1.0
CLASS:KIN;верный раб;NO;1.0
CLASS:MOVE;вертеть;YES;1.0
CLASS:MOVE;вертеться;YES;1.0
TEZ:REL_TYPE;вертолёт/транспорт;VERTICAL;1.0
CLASS:MOVE;верх;NO;1.0
CLASS:WEATHER;весеннее небо;GOOD_WEATHER;1.0
CLASS:WEATHER;весеннее солнце;GOOD_WEATHER;1.0
CLASS:WEATHER;весеннее солнышко;GOOD_WEATHER;1.0
CLASS:WEATHER;весенние ветры;GOOD_WEATHER;1.0
CLASS:WEATHER;весенние дни;GOOD_WEATHER;1.0
CLASS:WEATHER;весенние ручьи;GOOD_WEATHER;1.0
CLASS:WEATHER;весенние сумерки;TIME_OF_DAY;1.0
CLASS:WEATHER;весенний ветер;GOOD_WEATHER;1.0
CLASS:WEATHER;весенний ветерок;GOOD_WEATHER;1.0
CLASS:WEATHER;весенняя гроза;BAD_WEATHER;0.9286
CLASS:WEATHER;весенняя зелень;GOOD_WEATHER;1.0
CLASS:WEATHER;весенняя капель;GOOD_WEATHER;1.0
CLASS:WEATHER;весенняя листва;GOOD_WEATHER;1.0
CLASS:WEATHER;весенняя погода;GOOD_WEATHER;1.0
CLASS:WEATHER;весенняя травка;GOOD_WEATHER;1.0
CLASS:KIN;весть;NO;1.0
CLASS:WEATHER;ветвистые молнии;BAD_WEATHER;1.0
CLASS:WEATHER;ветер;BAD_WEATHER;1.0
CLASS:WEATHER;ветерок;GOOD_WEATHER;1.0
TEZ:REL_TYPE;ветки/дерево;PART/WHOLE;0.7368
TEZ:REL_TYPE;ветки/куст;PART/WHOLE;1.0
TEZ:REL_TYPE;ветки/растение;PART/WHOLE;1.0
CLASS:WEATHER;ветр;BAD_WEATHER;1.0
CLASS:WEATHER;ветреная погода;BAD_WEATHER;1.0
CLASS:WEATHER;ветреные дни;BAD_WEATHER;1.0
CLASS:WEATHER;ветреный день;BAD_WEATHER;1.0
CLASS:WEATHER;ветры;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;ветчина;FOOD;1.0
CLASS:WEATHER;вечер;TIME_OF_DAY;1.0
CLASS:WEATHER;вечерний бриз;GOOD_WEATHER;0.9167
CLASS:WEATHER;вечерний ветерок;GOOD_WEATHER;1.0
CLASS:WEATHER;вечерний сумрак;TIME_OF_DAY;1.0
CLASS:WEATHER;вечерняя мгла;TIME_OF_DAY;0.95
CLASS:WEATHER;вечерняя прохлада;GOOD_WEATHER;0.8667
CLASS:WEATHER;вечерняя роса;GOOD_WEATHER;0.8667
CLASS:WEATHER;вечная весна;GOOD_WEATHER;1.0
CLASS:WEATHER;вечное лето;GOOD_WEATHER;1.0
TEZ:REL_TYPE;вешалка/мебель;VERTICAL;1.0
TEZ:REL_TYPE;вещество/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;вещи/посуда;VERTICAL;1.0
CLASS:MOVE;вещь;NO;1.0
CLASS:KIN;взбалмошная девчонка;NO;1.0
CLASS:MOVE;взбираться;YES;1.0
CLASS:BT/DISHES/FOOD;взбитые яйца;FOOD;1.0
CLASS:BT/DISHES/FOOD;взбитый белок;FOOD;1.0
CLASS:MOVE;взлетать;YES;1.0
CLASS:MOVE;взмахивать;YES;1.0
CLASS:MOVE;взобраться;YES;1.0
CLASS:WEATHER;взошедшая луна;TIME_OF_DAY;1.0
CLASS:KIN;взрослая дочь;YES;1.0
CLASS:MOVE;взяться;YES;1.0
CLASS:BT/DISHES/FOOD;вилка;DISHES;1.0
TEZ:REL_TYPE;вилка/посуда;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;вилочка;DISHES;1.0
CLASS:BT/DISHES/FOOD;винная бутылка;DISHES;1.0
CLASS:BT/DISHES/FOOD;винные бутылки;DISHES;1.0
CLASS:BT/DISHES/FOOD;вино;FOOD;1.0
TEZ:REL_TYPE;вино/жидкость;VERTICAL;1.0
TEZ:REL_TYPE;вино/напиток;VERTICAL;1.0
CLASS:KIN;виновница;NO;0.9412
TEZ:REL_TYPE;виноград/еда;VERTICAL;1.0
TEZ:REL_TYPE;виноград/куст;VERTICAL;0.7143
TEZ:REL_TYPE;виноград/растение;VERTICAL;1.0
TEZ:REL_TYPE;виноград/ягода;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;виноградный сок;FOOD;1.0
CLASS:BT/DISHES/FOOD;вискарь;FOOD;1.0
CLASS:MOVE;виснуть;YES;1.0
CLASS:WEATHER;вихри;BAD_WEATHER;1.0
CLASS:WEATHER;вихрь;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;вишенка;FOOD;1.0
TEZ:REL_TYPE;вишня/дерево;VERTICAL;0.6774
TEZ:REL_TYPE;вишня/еда;VERTICAL;1.0
TEZ:REL_TYPE;вишня/куст;VERTICAL;1.0
TEZ:REL_TYPE;вишня/растение;VERTICAL;1.0
TEZ:REL_TYPE;вишня/ягода;VERTICAL;0.9286
CLASS:BT/DISHES/FOOD;вишнёвое варенье;FOOD;1.0
TEZ:REL_TYPE;вкус/чувство;VERTICAL;0.7143
CLASS:BT/DISHES/FOOD;вкуснятина;FOOD;1.0
CLASS:WEATHER;влага;BAD_WEATHER;1.0
CLASS:WEATHER;влажная духота;BAD_WEATHER;1.0
CLASS:WEATHER;влажность;BAD_WEATHER;1.0
CLASS:WEATHER;влажный мох;BAD_WEATHER;1.0
CLASS:MOVE;влезать;YES;0.9565
CLASS:MOVE;влезть;YES;1.0
CLASS:KIN;внебрачная дочь;YES;1.0
CLASS:KIN;внебрачные дети;YES;1.0
CLASS:KIN;внебрачный сын;YES;1.0
TEZ:REL_TYPE;внук/родственник;VERTICAL;1.0
TEZ:REL_TYPE;внук/человек;VERTICAL;0.9333
CLASS:KIN;внучатая племянница;YES;1.0
CLASS:KIN;внучатые племянники;YES;1.0
CLASS:KIN;внучатый племянник;YES;1.0
TEZ:REL_TYPE;внучка/родственник;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;вода;FOOD;1.0
TEZ:REL_TYPE;вода/жидкость;VERTICAL;0.7143
TEZ:REL_TYPE;вода/напиток;VERTICAL;0.8333
TEZ:REL_TYPE;водитель/профессия;VERTICAL;1.0
TEZ:REL_TYPE;водитель/транспорт;PART/WHOLE;0.9444
CLASS:BT/DISHES/FOOD;водка;FOOD;1.0
CLASS:WEATHER;водные потоки;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;водочная бутылка;DISHES;1.0
CLASS:BT/DISHES/FOOD;водочные бутылки;DISHES;1.0
CLASS:WEATHER;воды;BAD_WEATHER;1.0
CLASS:WEATHER;водяные струи;BAD_WEATHER;1.0
CLASS:MOVE;возвращаться;YES;1.0
CLASS:BT/DISHES/FOOD;воздушная кукуруза;FOOD;1.0
CLASS:WEATHER;воздушные вихри;BAD_WEATHER;1.0
CLASS:KIN;возлюбленная;NO;0.9583
TEZ:REL_TYPE;вокзал/место;VERTICAL;1.0
TEZ:REL_TYPE;вокзал/помещение;VERTICAL;0.6957
TEZ:REL_TYPE;волнение/переживание;SYN;1.0
TEZ:REL_TYPE;волнение/чувство;VERTICAL;1.0
CLASS:MOVE;волноваться;NO;1.0
CLASS:WEATHER;волнующееся море;BAD_WEATHER;1.0
TEZ:REL_TYPE;волосы/человек;PART/WHOLE;0.9091
CLASS:MOVE;волочиться;YES;1.0
CLASS:MOVE;волочь;YES;1.0
TEZ:REL_TYPE;воробей/птица;VERTICAL;1.0
TEZ:REL_TYPE;ворон/птица;VERTICAL;1.0
TEZ:REL_TYPE;ворона/птица;VERTICAL;1.0
CLASS:MOVE;ворчать;NO;1.0
TEZ:REL_TYPE;воспитатель/профессия;VERTICAL;1.0
TEZ:REL_TYPE;воспитатель/человек;VERTICAL;1.0
CLASS:MOVE;восторг;NO;1.0
TEZ:REL_TYPE;восторг/чувство;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;восточные сладости;FOOD;1.0
CLASS:WEATHER;восточный ветер;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;восхитительный запах;FOOD;1.0
CLASS:KIN;восьмилетний мальчик;NO;0.9583
TEZ:REL_TYPE;врач/профессия;VERTICAL;1.0
TEZ:REL_TYPE;врач/человек;VERTICAL;1.0
CLASS:MOVE;время;NO;1.0
CLASS:BT/DISHES/FOOD;всевозможные яства;FOOD;1.0
CLASS:MOVE;вскакивать;YES;1.0
CLASS:MOVE;вскарабкаться;YES;1.0
CLASS:MOVE;вскидывать;YES;1.0
CLASS:MOVE;вскрикивать;NO;1.0
CLASS:MOVE;вспоминать;NO;1.0
CLASS:MOVE;вспомнить;NO;1.0
CLASS:WEATHER;вспугнутые птицы;BAD_WEATHER;1.0
CLASS:MOVE;вставать;YES;1.0
CLASS:MOVE;встревожиться;NO;1.0
CLASS:WEATHER;встречный ветер;BAD_WEATHER;0.9167
CLASS:MOVE;встряхивать;YES;1.0
CLASS:MOVE;встряхнуться;YES;1.0
TEZ:REL_TYPE;вход/комната;PART/WHOLE;1.0
TEZ:REL_TYPE;вход/помещение;PART/WHOLE;0.6875
TEZ:REL_TYPE;вход/транспорт;PART/WHOLE;0.9167
CLASS:MOVE;выбегать;YES;1.0
CLASS:MOVE;выбирать;NO;0.7
CLASS:MOVE;выбираться;YES;0.9091
CLASS:MOVE;выбраться;YES;0.9412
CLASS:MOVE;выводить;YES;0.9333
CLASS:KIN;выгодный брак;NO;0.931
CLASS:BT/DISHES/FOOD;выдвинутый ящик;BT;1.0
CLASS:MOVE;выделывать;YES;0.9444
CLASS:BT/DISHES/FOOD;выдержанное вино;FOOD;1.0
CLASS:MOVE;выдерживать;NO;1.0
CLASS:MOVE;выдохнуться;NO;1.0
CLASS:MOVE;выдыхаться;NO;1.0
CLASS:MOVE;выискивать;YES;1.0
CLASS:MOVE;выкидывать;YES;1.0
TEZ:REL_TYPE;выкройка/одежда;PART/WHOLE;0.7692
CLASS:MOVE;вылезать;YES;1.0
CLASS:MOVE;вылетать;YES;0.9167
CLASS:MOVE;вылететь;YES;1.0
CLASS:MOVE;выныривать;YES;1.0
CLASS:WEATHER;выпавший снег;GOOD_WEATHER;0.9583
CLASS:BT/DISHES/FOOD;выпечка;FOOD;1.0
CLASS:MOVE;выползать;YES;1.0
CLASS:MOVE;выпрыгивать;YES;1.0
CLASS:MOVE;выпрыгнуть;YES;1.0
CLASS:MOVE;выпрямляться;YES;1.0
CLASS:MOVE;выпускать;YES;0.9375
CLASS:BT/DISHES/FOOD;вырезка;FOOD;1.0
CLASS:MOVE;выскакивать;YES;1.0
CLASS:MOVE;выскальзывать;YES;1.0
CLASS:MOVE;высовываться;YES;1.0
CLASS:WEATHER;высокая влажность;BAD_WEATHER;1.0
CLASS:MOVE;выталкивать;YES;1.0
CLASS:MOVE;вытерпеть;NO;1.0
CLASS:MOVE;вытягивать;YES;1.0
CLASS:MOVE;вытянуть;YES;1.0
CLASS:MOVE;выход;NO;1.0
CLASS:MOVE;выходить;YES;1.0
CLASS:MOVE;вышагивать;YES;1.0
CLASS:WEATHER;вьюга;BAD_WEATHER;1.0
CLASS:WEATHER;вязкий туман;BAD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;вяленая говядина;FOOD;1.0
CLASS:MOVE;гадать;NO;1.0
TEZ:REL_TYPE;газета/текст;PART/WHOLE;0.7368
