term;tag;value;pstv;ngtv;neut;dunno;pstvNgtvDisagreementRatio
абстрактность;NEUT;0.0;0.159;0.0;0.636;0.205;0.0
абстрактный;NEUT;0.0;0.143;0.048;0.69;0.119;0.0
абстракционизм;NEUT;0.05;0.17;0.09;0.58;0.16;0.0
абстракционист;NEUT;0.13;0.19;0.07;0.53;0.21;0.0
абстракция;NEUT;0.09;0.189;0.057;0.584;0.17;0.0
абсурд;NGTV;-0.95;0.057;0.686;0.2;0.057;0.0
абсурдность;NGTV;-1.0;0.042;0.771;0.166;0.021;0.0
абсурдный;NGTV;-0.9;0.071;0.671;0.223;0.035;0.0
абсцесс;NGTV;-0.65;0.105;0.333;0.194;0.368;0.06
абхаз;NEUT;0.16;0.19;0.04;0.49;0.28;0.0
абхазы;NEUT;0.11;0.186;0.059;0.549;0.206;0.0
авангард;NEUT;0.52;0.368;0.056;0.352;0.224;0.0
авангардизм;NEUT;0.05;0.16;0.04;0.56;0.24;0.0
авангардный;NEUT;0.5;0.339;0.092;0.33;0.239;0.01
аванс;NEUT;0.53;0.433;0.067;0.4;0.1;0.0
авансовый;NEUT;0.41;0.324;0.069;0.421;0.186;0.0
авантюра;NGTV;-0.58;0.184;0.426;0.265;0.125;0.16
авантюризм;NGTV;-0.37;0.196;0.304;0.341;0.159;0.23
авантюрист;NGTV;-0.37;0.221;0.293;0.307;0.179;0.32
авантюристический;NEUT;0.38;0.288;0.223;0.28;0.209;0.36
авантюристка;NGTV;-0.49;0.193;0.378;0.288;0.141;0.21
авантюристский;NGTV;-0.36;0.218;0.293;0.316;0.173;0.31
авантюрность;NEUT;0.33;0.243;0.187;0.308;0.262;0.28
авантюрный;NEUT;0.4;0.319;0.245;0.27;0.166;0.38
аварийка;NEUT;-0.2;0.171;0.225;0.488;0.116;0.1
аварийность;NGTV;-0.71;0.04;0.535;0.296;0.129;0.0
аварийный;NGTV;-0.98;0.088;0.626;0.165;0.121;0.0
аварийщик;NEUT;0.26;0.244;0.154;0.448;0.154;0.09
авария;NGTV;-1.0;0.058;0.846;0.058;0.038;0.0
аватарка;NEUT;0.2;0.233;0.075;0.534;0.158;0.0
август;NEUT;0.19;0.273;0.015;0.636;0.076;0.0
августовский;NEUT;0.15;0.216;0.048;0.568;0.168;0.0
авеню;NEUT;0.0;0.143;0.036;0.714;0.107;0.0
авиабаза;NEUT;0.0;0.114;0.029;0.686;0.171;0.0
авиабензин;NEUT;0.0;0.091;0.055;0.599;0.255;0.0
авиабилет;NEUT;0.07;0.204;0.037;0.666;0.093;0.0
авиабомба;NGTV;-1.0;0.086;0.69;0.138;0.086;0.0
авиабригада;NEUT;0.21;0.217;0.038;0.49;0.255;0.0
авиагородок;NEUT;0.24;0.246;0.049;0.5;0.205;0.0
авиадесантный;NEUT;0.19;0.206;0.059;0.49;0.245;0.0
авиадивизия;NEUT;0.36;0.25;0.063;0.374;0.313;0.0
авиадиспетчер;NEUT;0.28;0.305;0.038;0.562;0.095;0.0
авиазавод;NEUT;0.27;0.275;0.029;0.529;0.167;0.0
авиакасса;NEUT;0.11;0.204;0.027;0.592;0.177;0.0
авиакатастрофа;NGTV;-1.0;0.043;0.826;0.131;0.0;0.0
авиаклуб;NEUT;0.3;0.287;0.03;0.505;0.178;0.0
авиакомпания;NEUT;0.33;0.333;0.075;0.534;0.058;0.0
авиаконструктор;NEUT;0.43;0.388;0.031;0.472;0.109;0.0
авиакорпус;NEUT;0.0;0.096;0.058;0.75;0.096;0.0
авиакрыло;NEUT;0.0;0.111;0.0;0.685;0.204;0.0
авиалайнер;NEUT;0.37;0.32;0.019;0.467;0.194;0.0
авиалиния;NEUT;0.0;0.13;0.0;0.696;0.174;0.0
авиамеханик;NEUT;0.25;0.288;0.038;0.578;0.096;0.0
авиамодельный;NEUT;0.09;0.183;0.012;0.573;0.232;0.0
авиамоторный;NEUT;0.0;0.103;0.0;0.656;0.241;0.0
авианаводчик;NEUT;0.16;0.205;0.094;0.528;0.173;0.0
авианалёт;NGTV;-0.76;0.04;0.504;0.248;0.208;0.0
авианосец;NEUT;0.33;0.267;0.099;0.436;0.198;0.0
авиаотряд;NEUT;0.24;0.261;0.045;0.532;0.162;0.0
авиапарк;NEUT;0.33;0.297;0.055;0.484;0.164;0.0
авиаперелёт;NEUT;0.03;0.182;0.026;0.675;0.117;0.0
авиапочта;NEUT;0.25;0.25;0.045;0.5;0.205;0.0
авиапромышленность;NEUT;0.29;0.308;0.01;0.557;0.125;0.0
авиаразведка;NEUT;0.03;0.175;0.025;0.65;0.15;0.0
авиарейс;NEUT;0.14;0.239;0.0;0.652;0.109;0.0
авиасалон;NEUT;0.24;0.271;0.042;0.56;0.127;0.0
авиасоединение;NEUT;0.26;0.282;0.049;0.543;0.126;0.0
авиастроение;NEUT;0.38;0.349;0.018;0.486;0.147;0.0
авиастроительный;NEUT;0.17;0.243;0.049;0.611;0.097;0.0
авиатехник;NEUT;0.22;0.265;0.039;0.569;0.127;0.0
авиатор;NEUT;0.18;0.219;0.067;0.533;0.181;0.0
авиаторский;NEUT;0.21;0.286;0.0;0.643;0.071;0.0
авиатранспорт;NEUT;0.31;0.336;0.016;0.576;0.072;0.0
авиаудар;NGTV;-0.74;0.097;0.496;0.257;0.15;0.0
авиационный;NEUT;0.0;0.159;0.023;0.727;0.091;0.0
авиация;NEUT;0.32;0.298;0.088;0.491;0.123;0.0
авиачасть;NEUT;0.22;0.248;0.04;0.534;0.178;0.0
авиашкола;NEUT;0.29;0.304;0.078;0.54;0.078;0.0
авитаминоз;NGTV;-1.0;0.065;0.613;0.128;0.194;0.0
авитаминозный;NGTV;-0.91;0.081;0.535;0.175;0.209;0.0
авокадо;NEUT;0.44;0.384;0.045;0.464;0.107;0.0
авоська;NEUT;0.0;0.091;0.121;0.606;0.182;0.0
аврора;NEUT;0.48;0.361;0.034;0.387;0.218;0.0
австралиец;NEUT;0.09;0.216;0.018;0.658;0.108;0.0
австралийка;NEUT;0.01;0.149;0.064;0.574;0.213;0.0
австралийский;NEUT;0.01;0.19;0.024;0.738;0.048;0.0
австралопитек;NEUT;0.26;0.239;0.027;0.462;0.272;0.0
австриец;NEUT;0.04;0.2;0.0;0.72;0.08;0.0
австрийка;NEUT;0.0;0.086;0.052;0.707;0.155;0.0
австрийский;NEUT;0.1;0.209;0.047;0.628;0.116;0.0
австро-венгерский;NEUT;0.08;0.172;0.034;0.553;0.241;0.0
авто;NEUT;0.08;0.197;0.033;0.622;0.148;0.0
автобаза;NEUT;0.22;0.269;0.038;0.578;0.115;0.0
автобан;NEUT;-0.16;0.19;0.19;0.45;0.17;0.19
автобиографический;NEUT;0.1;0.222;0.037;0.667;0.074;0.0
автобиографичность;NEUT;0.08;0.184;0.026;0.579;0.211;0.0
автобиография;NEUT;0.24;0.285;0.046;0.592;0.077;0.0
автобус;NEUT;0.18;0.259;0.048;0.627;0.066;0.0
автобусик;PSTV;0.8;0.545;0.071;0.241;0.143;0.0
автобусный;NEUT;0.0;0.115;0.038;0.712;0.135;0.0
автовладелец;NEUT;0.38;0.375;0.054;0.526;0.045;0.0
автовокзал;NEUT;0.03;0.191;0.043;0.702;0.064;0.0
автогонка;NEUT;0.08;0.188;0.063;0.603;0.146;0.0
автогонки;NEUT;0.35;0.313;0.078;0.484;0.125;0.0
автогонщик;NEUT;0.0;0.029;0.059;0.794;0.118;0.0
автограф;NEUT;0.42;0.407;0.044;0.514;0.035;0.0
автодорога;NEUT;0.0;0.156;0.022;0.666;0.156;0.0
автодорожный;NEUT;0.0;0.119;0.0;0.738;0.143;0.0
автодром;NEUT;0.23;0.254;0.057;0.541;0.148;0.0
автозавод;NEUT;0.13;0.238;0.024;0.667;0.071;0.0
автозак;NGTV;-0.55;0.078;0.353;0.304;0.265;0.0
автозаправка;NEUT;0.02;0.178;0.022;0.667;0.133;0.0
автозаправочный;NEUT;0.0;0.116;0.047;0.697;0.14;0.0
автоинспектор;NEUT;0.17;0.22;0.09;0.55;0.14;0.0
автоинспекция;NEUT;0.18;0.212;0.096;0.509;0.183;0.0
автокатастрофа;NGTV;-1.0;0.06;0.761;0.104;0.075;0.0
автоклуб;NEUT;0.16;0.237;0.068;0.61;0.085;0.0
автоколонна;NEUT;0.0;0.1;0.06;0.68;0.16;0.0
автокран;NEUT;0.1;0.205;0.077;0.615;0.103;0.0
автокресло;NEUT;0.38;0.364;0.015;0.507;0.114;0.0
автолавка;NEUT;0.2;0.248;0.059;0.564;0.129;0.0
автоледи;NEUT;0.25;0.222;0.145;0.419;0.214;0.09
автолюбитель;NEUT;0.4;0.366;0.065;0.484;0.085;0.0
автомагазин;NEUT;0.21;0.28;0.025;0.627;0.068;0.0
автомагистраль;NEUT;0.0;0.128;0.0;0.718;0.154;0.0
автомагнитола;NEUT;0.16;0.212;0.018;0.54;0.23;0.0
автомастерская;NEUT;0.04;0.18;0.04;0.64;0.14;0.0
автомат;NEUT;-0.2;0.137;0.232;0.53;0.101;0.01
автоматизация;NEUT;0.47;0.402;0.018;0.437;0.143;0.0
автоматизировать;NEUT;0.4;0.339;0.054;0.455;0.152;0.0
автоматизм;NEUT;0.08;0.194;0.0;0.612;0.194;0.0
автоматика;NEUT;0.47;0.37;0.05;0.4;0.18;0.0
автоматически;NEUT;0.0;0.125;0.042;0.791;0.042;0.0
автоматический;NEUT;0.0;0.176;0.0;0.765;0.059;0.0
автоматный;NEUT;0.1;0.162;0.128;0.488;0.222;0.02
автоматчик;NEUT;-0.28;0.155;0.25;0.431;0.164;0.1
автомашина;NEUT;0.27;0.31;0.034;0.594;0.062;0.0
автомобилестроение;NEUT;0.39;0.358;0.024;0.496;0.122;0.0
автомобилестроительный;NEUT;0.05;0.18;0.06;0.62;0.14;0.0
автомобилизация;NEUT;0.08;0.2;0.0;0.633;0.167;0.0
автомобилист;NEUT;0.0;0.169;0.028;0.718;0.085;0.0
автомобиль;NEUT;0.31;0.329;0.051;0.557;0.063;0.0
автомобильный;NEUT;0.1;0.227;0.027;0.679;0.067;0.0
автомобильчик;NEUT;0.53;0.417;0.091;0.386;0.106;0.0
автомойка;NEUT;0.13;0.231;0.031;0.646;0.092;0.0
автомоторный;NEUT;0.1;0.174;0.043;0.522;0.261;0.0
автономизация;NEUT;0.29;0.259;0.009;0.464;0.268;0.0
автономия;NEUT;0.21;0.21;0.03;0.47;0.29;0.0
автономность;NEUT;0.37;0.308;0.065;0.449;0.178;0.0
автономный;NEUT;0.0;0.091;0.023;0.704;0.182;0.0
автопарк;NEUT;0.2;0.246;0.053;0.569;0.132;0.0
автопилот;NEUT;0.32;0.323;0.091;0.531;0.055;0.0
автопогрузчик;NEUT;0.1;0.211;0.0;0.631;0.158;0.0
автопоезд;NEUT;0.03;0.182;0.061;0.666;0.091;0.0
автопортрет;NEUT;0.02;0.179;0.026;0.667;0.128;0.0
автоприцеп;NEUT;0.0;0.132;0.066;0.703;0.099;0.0
автопробег;NEUT;0.22;0.252;0.113;0.547;0.088;0.0
автопроизводитель;NEUT;0.32;0.33;0.018;0.554;0.098;0.0
автопром;NEUT;0.0;0.031;0.094;0.594;0.281;0.0
автор;NEUT;0.28;0.307;0.055;0.567;0.071;0.0
авторемонтный;NEUT;0.19;0.24;0.038;0.568;0.154;0.0
автореферат;NEUT;0.2;0.212;0.096;0.49;0.202;0.0
авторизация;NEUT;0.05;0.2;0.033;0.7;0.067;0.0
авторитаризм;NGTV;-0.57;0.133;0.314;0.201;0.352;0.15
авторитарность;NGTV;-0.35;0.238;0.277;0.287;0.198;0.4
авторитарный;NGTV;-0.39;0.233;0.282;0.233;0.252;0.44
авторитет;PSTV;0.9;0.569;0.069;0.19;0.172;0.0
авторитетность;PSTV;0.89;0.63;0.043;0.218;0.109;0.0
авторитетный;PSTV;0.97;0.717;0.022;0.196;0.065;0.0
авторский;NEUT;0.4;0.344;0.084;0.457;0.115;0.0
авторство;PSTV;0.55;0.402;0.085;0.351;0.162;0.0
авторучка;NEUT;0.21;0.271;0.047;0.598;0.084;0.0
авторша;NEUT;0.34;0.252;0.117;0.379;0.252;0.05
авторынок;NEUT;0.0;0.114;0.0;0.772;0.114;0.0
автосалон;NEUT;0.0;0.136;0.045;0.66;0.159;0.0
автосервис;NEUT;0.23;0.286;0.015;0.601;0.098;0.0
автослесарь;NEUT;0.08;0.2;0.071;0.635;0.094;0.0
автоспорт;NEUT;0.38;0.347;0.074;0.496;0.083;0.0
автостанция;NEUT;0.14;0.218;0.05;0.581;0.151;0.0
автостоп;NEUT;0.06;0.182;0.023;0.613;0.182;0.0
автостопщик;NEUT;0.1;0.161;0.097;0.484;0.258;0.0
автострада;NEUT;0.0;0.148;0.037;0.63;0.185;0.0
автотранспорт;NEUT;0.38;0.351;0.035;0.5;0.114;0.0
автотранспортный;NEUT;0.05;0.186;0.047;0.651;0.116;0.0
автотрасса;NEUT;0.0;0.129;0.032;0.613;0.226;0.0
автоугон;NGTV;-1.0;0.085;0.681;0.085;0.149;0.0
автоугонщик;NGTV;-1.0;0.043;0.851;0.085;0.021;0.0
автофургон;NEUT;0.03;0.2;0.033;0.734;0.033;0.0
автохозяйство;NEUT;0.23;0.238;0.076;0.505;0.181;0.0
автоцентр;NEUT;0.04;0.171;0.073;0.61;0.146;0.0
автоцистерна;NEUT;0.0;0.115;0.038;0.539;0.308;0.0
автошкола;NEUT;0.3;0.347;0.017;0.611;0.025;0.0
агар-агар;NEUT;0.0;0.1;0.05;0.4;0.45;0.0
агатовый;NEUT;0.1;0.161;0.066;0.488;0.285;0.0
агент;NEUT;0.12;0.216;0.081;0.622;0.081;0.0
агентка;NEUT;0.16;0.2;0.117;0.508;0.175;0.0
агентский;NEUT;0.0;0.053;0.132;0.631;0.184;0.0
агентство;NEUT;0.07;0.189;0.081;0.622;0.108;0.0
агентша;NEUT;0.04;0.148;0.122;0.53;0.2;0.0
агитационный;NEUT;0.39;0.333;0.222;0.334;0.111;0.28
агитация;NEUT;-0.21;0.165;0.189;0.386;0.26;0.18
агитбригада;NEUT;0.34;0.248;0.139;0.346;0.267;0.12
агитировать;NEUT;0.22;0.22;0.212;0.415;0.153;0.25
агнец;NEUT;0.49;0.32;0.136;0.272;0.272;0.13
агония;NGTV;-1.0;0.058;0.596;0.115;0.231;0.0
аграрный;NEUT;0.21;0.206;0.084;0.458;0.252;0.0
агрегат;NEUT;0.09;0.211;0.0;0.657;0.132;0.0
агрессивность;NGTV;-1.0;0.04;0.76;0.14;0.06;0.0
агрессивный;NGTV;-1.0;0.02;0.88;0.1;0.0;0.0
агрессия;NGTV;-1.0;0.07;0.772;0.105;0.053;0.0
агрессор;NGTV;-0.92;0.0;0.679;0.214;0.107;0.0
агрокультура;NEUT;0.3;0.261;0.109;0.454;0.176;0.0
агроном;NEUT;0.33;0.325;0.04;0.524;0.111;0.0
агрономический;NEUT;0.03;0.162;0.054;0.595;0.189;0.0
агрономия;NEUT;0.43;0.36;0.05;0.44;0.15;0.0
агротехнический;NEUT;0.0;0.115;0.038;0.655;0.192;0.0
адаптационный;NEUT;0.44;0.368;0.074;0.44;0.118;0.0
адаптация;PSTV;0.59;0.478;0.037;0.373;0.112;0.0
адаптер;NEUT;0.31;0.276;0.037;0.471;0.216;0.0
адаптивность;PSTV;0.74;0.578;0.02;0.294;0.108;0.0
адаптивный;PSTV;0.6;0.43;0.08;0.32;0.17;0.0
адаптированность;PSTV;0.9;0.636;0.061;0.212;0.091;0.0
адаптировать;PSTV;0.73;0.577;0.019;0.308;0.096;0.0
адвокат;NEUT;0.32;0.325;0.07;0.535;0.07;0.0
адвокатский;NEUT;0.03;0.178;0.044;0.645;0.133;0.0
адвокатура;NEUT;0.22;0.231;0.067;0.501;0.201;0.0
адвокатша;NEUT;0.21;0.224;0.215;0.43;0.131;0.24
адекватность;PSTV;0.9;0.735;0.0;0.245;0.02;0.0
адекватный;PSTV;1.0;0.755;0.057;0.15;0.038;0.0
адепт;NEUT;0.22;0.196;0.069;0.421;0.314;0.0
аджика;NEUT;0.31;0.264;0.124;0.438;0.174;0.03
адидас;NEUT;0.08;0.182;0.121;0.576;0.121;0.0
админ;NEUT;0.21;0.246;0.056;0.547;0.151;0.0
административный;NEUT;0.06;0.205;0.045;0.682;0.068;0.0
администратор;NEUT;0.24;0.268;0.045;0.544;0.143;0.0
администраторский;NEUT;0.0;0.119;0.071;0.739;0.071;0.0
администраторша;NEUT;0.17;0.208;0.142;0.508;0.142;0.03
администрация;NEUT;0.08;0.2;0.075;0.633;0.092;0.0
администрирование;NEUT;0.29;0.28;0.02;0.5;0.2;0.0
адмирал;NEUT;0.46;0.382;0.091;0.436;0.091;0.0
адмиралтейский;NEUT;0.05;0.192;0.038;0.655;0.115;0.0
адмиралтейство;NEUT;0.22;0.234;0.066;0.503;0.197;0.0
адмиральский;NEUT;0.34;0.297;0.059;0.466;0.178;0.0
адмиральша;NEUT;0.08;0.167;0.069;0.528;0.236;0.0
адреналин;PSTV;0.57;0.453;0.068;0.368;0.111;0.0
адреналиновый;NEUT;0.32;0.307;0.129;0.505;0.059;0.0
адрес;NEUT;0.0;0.108;0.041;0.756;0.095;0.0
адресант;NEUT;0.07;0.182;0.026;0.597;0.195;0.0
адресат;NEUT;0.0;0.161;0.0;0.71;0.129;0.0
адресация;NEUT;0.1;0.182;0.045;0.546;0.227;0.0
адресный;NEUT;0.0;0.158;0.053;0.736;0.053;0.0
адресовать;NEUT;0.0;0.156;0.067;0.71;0.067;0.0
адресоваться;NEUT;0.0;0.121;0.061;0.576;0.242;0.0
адресок;NEUT;0.19;0.216;0.059;0.509;0.216;0.0
адски;NGTV;-1.0;0.057;0.755;0.15;0.038;0.0
адский;NGTV;-1.0;0.136;0.682;0.159;0.023;0.0
адъютант;NEUT;0.01;0.137;0.02;0.529;0.314;0.0
адъютантский;NEUT;0.0;0.118;0.108;0.49;0.284;0.0
ажиотаж;NEUT;0.19;0.197;0.167;0.431;0.205;0.14
ажиотажный;NGTV;-0.39;0.259;0.311;0.26;0.17;0.44
ажур;NEUT;0.38;0.31;0.04;0.44;0.21;0.0
ажурный;NEUT;0.49;0.364;0.065;0.375;0.196;0.0
аз;NEUT;0.4;0.22;0.05;0.29;0.44;0.0
азарт;NEUT;-0.31;0.166;0.287;0.451;0.096;0.1
азартный;NGTV;-0.48;0.125;0.383;0.384;0.108;0.05
азбука;NEUT;0.5;0.453;0.034;0.453;0.06;0.0
азбучный;NEUT;0.0;0.097;0.117;0.514;0.272;0.0
азиатка;NEUT;0.02;0.178;0.099;0.664;0.059;0.0
азимут;NEUT;0.02;0.16;0.04;0.6;0.2;0.0
азовский;NEUT;0.1;0.185;0.0;0.556;0.259;0.0
азот;NEUT;0.0;0.149;0.064;0.659;0.128;0.0
азотный;NEUT;-0.13;0.109;0.188;0.515;0.188;0.0
азотсодержащий;NEUT;0.0;0.036;0.107;0.678;0.179;0.0
аид;NGTV;-0.7;0.17;0.462;0.208;0.16;0.12
аист;PSTV;0.55;0.463;0.025;0.405;0.107;0.0
ай-кью;NEUT;0.44;0.382;0.049;0.451;0.118;0.0
айва;NEUT;0.34;0.255;0.059;0.402;0.284;0.0
айкидо;NEUT;0.24;0.245;0.057;0.509;0.189;0.0
айран;NEUT;0.42;0.265;0.044;0.337;0.354;0.0
айсберг;NEUT;0.0;0.133;0.102;0.601;0.164;0.0
айтишник;NEUT;0.09;0.167;0.117;0.516;0.2;0.0
айфон;NEUT;0.25;0.285;0.073;0.577;0.065;0.0
академгородок;NEUT;0.44;0.31;0.052;0.371;0.267;0.0
академик;NEUT;0.54;0.48;0.059;0.422;0.039;0.0
академически;NEUT;0.29;0.275;0.073;0.496;0.156;0.0
академический;NEUT;0.36;0.345;0.042;0.521;0.092;0.0
академичность;NEUT;0.52;0.421;0.047;0.392;0.14;0.0
академия;NEUT;0.53;0.438;0.071;0.402;0.089;0.0
акация;NEUT;0.52;0.468;0.0;0.441;0.091;0.0
акваланг;NEUT;0.39;0.369;0.025;0.508;0.098;0.0
аквалангист;NEUT;0.14;0.262;0.0;0.714;0.024;0.0
аквамарин;NEUT;0.26;0.254;0.059;0.501;0.186;0.0
аквамариновый;NEUT;0.22;0.233;0.039;0.505;0.223;0.0
аквапарк;PSTV;0.78;0.605;0.053;0.281;0.061;0.0
акварель;NEUT;0.4;0.378;0.034;0.504;0.084;0.0
акварельный;NEUT;0.36;0.33;0.018;0.491;0.161;0.0
аквариум;NEUT;0.0;0.135;0.058;0.692;0.115;0.0
аквариумист;NEUT;0.04;0.152;0.061;0.545;0.242;0.0
аквариумный;NEUT;0.0;0.156;0.022;0.733;0.089;0.0
акватория;NEUT;0.0;0.159;0.023;0.636;0.182;0.0
акведук;NEUT;0.23;0.189;0.038;0.396;0.377;0.0
аккаунт;NEUT;0.11;0.182;0.036;0.527;0.255;0.0
акклиматизация;NEUT;0.32;0.255;0.182;0.354;0.209;0.22
акклиматизироваться;PSTV;0.59;0.467;0.057;0.362;0.114;0.0
аккомпанемент;NEUT;0.16;0.248;0.03;0.633;0.089;0.0
аккомпаниатор;NEUT;0.47;0.26;0.029;0.288;0.423;0.0
аккомпанировать;NEUT;0.47;0.382;0.0;0.412;0.206;0.0
аккорд;NEUT;0.39;0.339;0.035;0.461;0.165;0.0
аккордеон;NEUT;0.36;0.316;0.043;0.47;0.171;0.0
аккордеонист;NEUT;0.33;0.274;0.085;0.443;0.198;0.0
аккумулирование;NEUT;0.46;0.347;0.059;0.391;0.203;0.0
аккумулировать;NEUT;0.31;0.257;0.05;0.436;0.257;0.0
аккумулятор;NEUT;0.12;0.203;0.068;0.576;0.153;0.0
аккумуляторный;NEUT;0.0;0.143;0.0;0.678;0.179;0.0
аккуратист;PSTV;0.69;0.417;0.078;0.243;0.262;0.0
аккуратненький;PSTV;1.0;0.8;0.0;0.08;0.12;0.0
аккуратненько;PSTV;0.89;0.674;0.023;0.233;0.07;0.0
аккуратность;PSTV;1.0;0.805;0.0;0.146;0.049;0.0
аккуратный;PSTV;1.0;0.778;0.019;0.129;0.074;0.0
акрил;NEUT;0.22;0.248;0.055;0.541;0.156;0.0
акробат;NEUT;0.41;0.341;0.079;0.437;0.143;0.0
акробатика;NEUT;0.34;0.35;0.031;0.552;0.067;0.0
акробатически;NEUT;0.37;0.366;0.057;0.536;0.041;0.0
акробатический;NEUT;0.27;0.308;0.034;0.581;0.077;0.0
акробатка;NEUT;0.38;0.363;0.056;0.516;0.065;0.0
аксессуар;NEUT;0.41;0.405;0.024;0.523;0.048;0.0
акт;NEUT;0.1;0.186;0.096;0.564;0.154;0.0
актив;PSTV;0.88;0.623;0.03;0.221;0.126;0.0
активатор;NEUT;0.0;0.185;0.0;0.778;0.037;0.0
активация;NEUT;0.42;0.382;0.046;0.48;0.092;0.0
активизация;NEUT;0.43;0.346;0.037;0.421;0.196;0.0
активизировать;NEUT;0.47;0.404;0.058;0.442;0.096;0.0
активизироваться;PSTV;0.68;0.534;0.051;0.322;0.093;0.0
активизм;PSTV;0.79;0.514;0.063;0.234;0.189;0.0
активирование;NEUT;0.4;0.37;0.046;0.491;0.093;0.0
активировать;NEUT;0.4;0.367;0.075;0.491;0.067;0.0
активист;PSTV;0.9;0.659;0.049;0.219;0.073;0.0
активистка;PSTV;0.83;0.538;0.118;0.218;0.126;0.0
активность;PSTV;0.78;0.593;0.044;0.275;0.088;0.0
активный;PSTV;1.0;0.712;0.058;0.153;0.077;0.0
актовый;NEUT;0.0;0.1;0.0;0.633;0.267;0.0
актриса;NEUT;0.39;0.359;0.026;0.487;0.128;0.0
актриска;NGTV;-0.48;0.225;0.363;0.255;0.157;0.31
актрисочка;NGTV;-0.51;0.271;0.402;0.224;0.103;0.4
актуализация;NEUT;0.54;0.35;0.068;0.31;0.272;0.0
актуализировать;NEUT;0.54;0.416;0.059;0.367;0.158;0.0
актуализироваться;PSTV;0.58;0.425;0.027;0.336;0.212;0.0
актуальность;PSTV;1.0;0.763;0.0;0.132;0.105;0.0
актуальный;PSTV;0.76;0.598;0.043;0.291;0.068;0.0
актёр;NEUT;0.37;0.359;0.031;0.526;0.084;0.0
актёришка;NGTV;-1.0;0.085;0.681;0.128;0.106;0.0
актёрка;NEUT;-0.25;0.19;0.2;0.33;0.28;0.3
актёрский;NEUT;0.3;0.31;0.052;0.543;0.095;0.0
актёрство;NEUT;0.42;0.407;0.034;0.508;0.051;0.0
актёрствовать;NEUT;-0.22;0.17;0.22;0.44;0.17;0.14
акула;NEUT;-0.26;0.115;0.27;0.525;0.09;0.0
акулий;NEUT;-0.12;0.039;0.167;0.47;0.324;0.0
акустический;NEUT;0.05;0.189;0.0;0.66;0.151;0.0
акушер;NEUT;0.45;0.35;0.068;0.403;0.179;0.0
акушерка;NEUT;0.51;0.39;0.102;0.372;0.136;0.01
акушерский;NEUT;0.0;0.121;0.061;0.515;0.303;0.0
акушерство;NEUT;0.47;0.386;0.03;0.426;0.158;0.0
акцент;NEUT;0.26;0.311;0.044;0.601;0.044;0.0
акцентирование;NEUT;0.37;0.291;0.064;0.427;0.218;0.0
акцентировать;NEUT;0.24;0.27;0.026;0.556;0.148;0.0
акцентный;NEUT;0.07;0.171;0.049;0.56;0.22;0.0
акциз;NEUT;0.0;0.087;0.087;0.525;0.301;0.0
акционер;NEUT;0.21;0.252;0.019;0.564;0.165;0.0
акционерный;NEUT;0.05;0.165;0.079;0.576;0.18;0.0
акция;PSTV;0.6;0.497;0.044;0.377;0.082;0.0
алабай;NEUT;0.46;0.307;0.109;0.317;0.267;0.06
алгебра;NEUT;0.26;0.258;0.208;0.442;0.092;0.2
