term;tag;value
нирвана;PSTV;2.727272727
красотища;PSTV;2.714285714
зимнее утро;PSTV;2.714285714
сверхприбыль;PSTV;2.714285714
хит;PSTV;2.714285714
звёздное небо;PSTV;2.714285714
купаться в деньгах;PSTV;2.708333333
непобедимый;PSTV;2.7
Париж;PSTV;2.7
рай;PSTV;2.7
отдыхать;PSTV;2.7
лучшая ночь;PSTV;2.7
шикарная жизнь;PSTV;2.7
пати;PSTV;2.7
безупречность;PSTV;2.7
счастливец;PSTV;2.7
упражнения;PSTV;2.7
неописуемый восторг;PSTV;2.7
вкусные;PSTV;2.7
мирное сосуществование;PSTV;2.7
творческий вечер;PSTV;2.7
домой;PSTV;2.7
топ;PSTV;2.7
здоровья;PSTV;2.7
высшее наслаждение;PSTV;2.7
танцевальная музыка;PSTV;2.7
наслаждение;PSTV;2.695652173
безграничное счастье;PSTV;2.692307692
рай на земле;PSTV;2.692307692
вечная молодость;PSTV;2.692307692
умиротворённость;PSTV;2.692307692
правильное;PSTV;2.692307692
лучше не бывает;PSTV;2.692307692
чистый разум;PSTV;2.692307692
улыбка губы;PSTV;2.692307692
отдыхающий;PSTV;2.692307692
убойная сила;PSTV;2.692307692
экстаз;PSTV;2.6875
совершеннейший;PSTV;2.684210526
на седьмое небо;PSTV;2.681818181
потрясающий;PSTV;2.678571428
кристальная чистота;PSTV;2.666666666
облегчение;PSTV;2.666666666
супергерой;PSTV;2.666666666
порхать;PSTV;2.666666666
счастливая семья;PSTV;2.666666666
шедеврально;PSTV;2.666666666
страстная любовь;PSTV;2.666666666
деликатес;PSTV;2.666666666
июнь;PSTV;2.666666666
круиз;PSTV;2.666666666
высший пилотаж;PSTV;2.666666666
воистину;PSTV;2.666666666
большая радость;PSTV;2.666666666
релаксация;PSTV;2.666666666
счастливый билет;PSTV;2.666666666
родной дом;PSTV;2.666666666
объятия;PSTV;2.666666666
чудеса;PSTV;2.666666666
кончить;PSTV;2.666666666
творческое воображение;PSTV;2.666666666
высшего качества;PSTV;2.666666666
отдохнувший;PSTV;2.666666666
шикарный;PSTV;2.666666666
восхитительно;PSTV;2.666666666
радостное чувство;PSTV;2.666666666
высокооплачиваемая работа;PSTV;2.666666666
отличнейший;PSTV;2.666666666
россиянин;PSTV;2.666666666
гений;PSTV;2.666666666
хорошая погода;PSTV;2.653846153
супер;PSTV;2.653846153
зашибись;PSTV;2.652173913
я люблю тебя;PSTV;2.652173913
атмосфера праздника;PSTV;2.652173913
неоценимый вклад;PSTV;2.642857142
пятница;PSTV;2.642857142
девчата;PSTV;2.642857142
оригинальный подарок;PSTV;2.642857142
блаженство;PSTV;2.642857142
радужный мост;PSTV;2.642857142
отдохнуть;PSTV;2.642857142
идеальный;PSTV;2.64
желанный;PSTV;2.64
доходы;PSTV;2.636363636
конфета;PSTV;2.636363636
дебют;PSTV;2.636363636
прекрасное время;PSTV;2.636363636
варение;PSTV;2.636363636
последний урок;PSTV;2.636363636
востребованность;PSTV;2.636363636
юмор;PSTV;2.636363636
психологический тренинг;PSTV;2.636363636
чистейший;PSTV;2.636363636
нобелевская премия;PSTV;2.636363636
желанность;PSTV;2.636363636
воодушевлять;PSTV;2.636363636
торжество;PSTV;2.636363636
буря эмоций;PSTV;2.636363636
мультфильмы;PSTV;2.636363636
выспаться;PSTV;2.636363636
природа;PSTV;2.636363636
лучшее место;PSTV;2.636363636
сам бог велел;PSTV;2.636363636
святая;PSTV;2.636363636
пицца;PSTV;2.636363636
марихуана;PSTV;2.636363636
добротный;PSTV;2.636363636
карамель;PSTV;2.636363636
невероятный;PSTV;2.636363636
видеть;PSTV;2.636363636
свежие фрукты;PSTV;2.636363636
открытие;PSTV;2.636363636
заслуга;PSTV;2.636363636
офигеть;PSTV;2.636363636
бро;PSTV;2.636363636
неповторимый;PSTV;2.636363636
взаимная любовь;PSTV;2.636363636
мирное время;PSTV;2.636363636
вдохновитель;PSTV;2.636363636
высокого качества;PSTV;2.636363636
парить в облаках;PSTV;2.636363636
победы;PSTV;2.636363636
роскошь;PSTV;2.636363636
непревзойдённый;PSTV;2.636363636
Новый год;PSTV;2.625
страстный;PSTV;2.625
блестящая репутация;PSTV;2.625
захватывающий дух;PSTV;2.625
подарок судьбы;PSTV;2.625
яркие впечатления;PSTV;2.620689655
удача;PSTV;2.6190476190000003
горнолыжный спорт;PSTV;2.615384615
победить;PSTV;2.615384615
воскресный отдых;PSTV;2.615384615
высочайший;PSTV;2.615384615
бурная ночь;PSTV;2.615384615
олимпийский рекорд;PSTV;2.615384615
лёгкость;PSTV;2.615384615
крупный выигрыш;PSTV;2.615384615
ржака;PSTV;2.615384615
идеал;PSTV;2.615384615
разум;PSTV;2.615384615
гулять;PSTV;2.615384615
секс;PSTV;2.615384615
бесценный;PSTV;2.615384615
кульминационный момент;PSTV;2.615384615
каникулы;PSTV;2.608695652
ласточка;PSTV;2.6
музыкальный слух;PSTV;2.6
лучшее предложение;PSTV;2.6
сильная любовь;PSTV;2.6
гармоничный;PSTV;2.6
обаятельный;PSTV;2.6
близкий по духу человек;PSTV;2.6
Питер;PSTV;2.6
торжественный момент;PSTV;2.6
чистое состояние;PSTV;2.6
Океан;PSTV;2.6
величественный особняк;PSTV;2.6
люблю;PSTV;2.6
рай земной;PSTV;2.6
Бетховен;PSTV;2.6
золотая осень;PSTV;2.6
главнокомандующий;PSTV;2.6
новогодняя ёлка;PSTV;2.6
мягкая;PSTV;2.6
инновационный;PSTV;2.6
провести время;PSTV;2.6
салют;PSTV;2.6
выжить;PSTV;2.6
профессиональный рост;PSTV;2.6
платёжеспособный;PSTV;2.6
чистенький;PSTV;2.6
тепленькое местечко;PSTV;2.6
развивающийся;PSTV;2.6
справляться;PSTV;2.6
высокооплачиваемый;PSTV;2.6
голова;PSTV;2.6
финалист;PSTV;2.6
высший орден;PSTV;2.6
неотразимый;PSTV;2.6
наслаждаться;PSTV;2.6
успех;PSTV;2.6
счастливица;PSTV;2.6
превосходная степень;PSTV;2.6
нежное прикосновение;PSTV;2.6
флюид;PSTV;2.6
на волне успеха;PSTV;2.6
на высоте;PSTV;2.6
сочная;PSTV;2.6
наслаждаться жизнью;PSTV;2.592592592
яркое воспоминание;PSTV;2.59090909
голубая мечта;PSTV;2.588235294
лакомый кусочек;PSTV;2.583333333
славнейший;PSTV;2.583333333
чистая победа;PSTV;2.583333333
счастливо;PSTV;2.583333333
куш;PSTV;2.583333333
отборнейший;PSTV;2.583333333
дорогие;PSTV;2.583333333
да;PSTV;2.583333333
высокое качество;PSTV;2.583333333
джем;PSTV;2.583333333
исцелиться;PSTV;2.583333333
аромат;PSTV;2.583333333
родителей;PSTV;2.583333333
возлюбить;PSTV;2.583333333
в прекрасной форме;PSTV;2.583333333
удивительный;PSTV;2.583333333
безупречный;PSTV;2.583333333
пение птиц;PSTV;2.583333333
добиться;PSTV;2.583333333
звёздная ночь;PSTV;2.583333333
медовый месяц;PSTV;2.583333333
отапливать;PSTV;2.583333333
хрусталик;PSTV;2.583333333
чудо-ребенок;PSTV;2.583333333
сладкая жизнь;PSTV;2.583333333
долгожитель;PSTV;2.583333333
тёплая;PSTV;2.583333333
бесстрашный;PSTV;2.583333333
покой;PSTV;2.583333333
любовная страсть;PSTV;2.583333333
истома;PSTV;2.583333333
сладкие;PSTV;2.583333333
Нью-Йорк;PSTV;2.583333333
кондитерская;PSTV;2.583333333
чувство восторга;PSTV;2.576923076
чудесная погода;PSTV;2.576923076
отпуск;PSTV;2.576923076
восторг;PSTV;2.576923076
поесть;PSTV;2.571428571
приз;PSTV;2.571428571
фантастический;PSTV;2.571428571
малина;PSTV;2.571428571
замечательное настроение;PSTV;2.571428571
душевая;PSTV;2.571428571
драгоценный подарок;PSTV;2.571428571
лучшее;PSTV;2.571428571
звездопад;PSTV;2.571428571
отменный;PSTV;2.571428571
вкусняшки;PSTV;2.571428571
женский пол;PSTV;2.571428571
как у Христа за пазухой;PSTV;2.571428571
страсть;PSTV;2.571428571
прекрасно;PSTV;2.571428571
восхищение;PSTV;2.571428571
разумный человек;PSTV;2.571428571
падать от смеха;PSTV;2.571428571
идеальная женщина;PSTV;2.571428571
фортуна;PSTV;2.571428571
кайф;PSTV;2.571428571
добиться успеха;PSTV;2.565217391
завораживающе;PSTV;2.565217391
хорошая песня;PSTV;2.565217391
ослепительная красота;PSTV;2.5625
Гармония;PSTV;2.5625
объятие;PSTV;2.56
любимый;PSTV;2.56
идиллия;PSTV;2.56
сотворить чудо;PSTV;2.555555555
увенчать лаврами;PSTV;2.555555555
превосходный;PSTV;2.555555555
шедевр;PSTV;2.553191489
дом, милый дом;PSTV;2.55
жизни;PSTV;2.545454545
расцветать;PSTV;2.545454545
родитель;PSTV;2.545454545
любимка;PSTV;2.545454545
цвести;PSTV;2.545454545
денежный мешок;PSTV;2.545454545
правовое государство;PSTV;2.545454545
рекомендоваться;PSTV;2.545454545
джакузи;PSTV;2.545454545
сдружиться;PSTV;2.545454545
вау;PSTV;2.545454545
любимое место;PSTV;2.545454545
экстремальный;PSTV;2.545454545
захохотать;PSTV;2.545454545
любви;PSTV;2.545454545
божественный;PSTV;2.545454545
чувство любви;PSTV;2.545454545
семейное благополучие;PSTV;2.545454545
заработный;PSTV;2.545454545
лучшее время;PSTV;2.545454545
счастье, что;PSTV;2.545454545
стипендия;PSTV;2.545454545
женская красота;PSTV;2.545454545
престижный;PSTV;2.545454545
круассан;PSTV;2.545454545
новые горизонты;PSTV;2.545454545
высокая оценка;PSTV;2.545454545
личность;PSTV;2.545454545
воскреснуть;PSTV;2.545454545
рождения;PSTV;2.545454545
процветание;PSTV;2.545454545
пляски;PSTV;2.545454545
превосходно;PSTV;2.545454545
жизнь;PSTV;2.545454545
художественный;PSTV;2.545454545
раздолье;PSTV;2.545454545
снежок;PSTV;2.545454545
качели;PSTV;2.545454545
счастливчик;PSTV;2.545454545
земной рай;PSTV;2.545454545
воодушевление;PSTV;2.545454545
сертификат;PSTV;2.545454545
книгу;PSTV;2.545454545
уличное освещение;PSTV;2.545454545
состоятельность;PSTV;2.545454545
везучий человек;PSTV;2.545454545
доход;PSTV;2.545454545
оживить;PSTV;2.545454545
семечки;PSTV;2.545454545
шоколадное молоко;PSTV;2.545454545
золотое;PSTV;2.545454545
георгиевский кавалер;PSTV;2.545454545
уникальный талант;PSTV;2.545454545
герои;PSTV;2.545454545
мудрейший;PSTV;2.545454545
мышцы;PSTV;2.545454545
внук;PSTV;2.545454545
чудесное;PSTV;2.545454545
сокровища;PSTV;2.545454545
стремиться;PSTV;2.545454545
аттракцион;PSTV;2.545454545
настоящий мужчина;PSTV;2.545454545
самосовершенствование;PSTV;2.545454545
легендарный;PSTV;2.545454545
родители;PSTV;2.545454545
взрыв эмоций;PSTV;2.545454545
эстетическое удовольствие;PSTV;2.541666666
виртуоз;PSTV;2.541666666
вздох облегчения;PSTV;2.538461538
комедия;PSTV;2.538461538
общаться;PSTV;2.538461538
голубое небо;PSTV;2.538461538
кондитерское изделие;PSTV;2.538461538
пломбир;PSTV;2.538461538
высшая;PSTV;2.538461538
свободно;PSTV;2.538461538
любимые;PSTV;2.538461538
влюблённые;PSTV;2.538461538
обниматься;PSTV;2.538461538
специалист;PSTV;2.538461538
личное имя;PSTV;2.538461538
булочка;PSTV;2.538461538
пляж;PSTV;2.538461538
котлеты;PSTV;2.538461538
день рожденья;PSTV;2.538461538
свой человек;PSTV;2.538461538
умный человек;PSTV;2.538461538
олимпийское спокойствие;PSTV;2.538461538
радиационная защита;PSTV;2.538461538
чистое озеро;PSTV;2.538461538
вдохновенность;PSTV;2.538461538
процветать;PSTV;2.538461538
Гавайи;PSTV;2.5333333330000003
мелодия;PSTV;2.5333333330000003
влюблённый;PSTV;2.5333333330000003
великолепные вещи;PSTV;2.5333333330000003
идеально;PSTV;2.529411764
благодарный;PSTV;2.523809523
хороший день;PSTV;2.52173913
блистательный;PSTV;2.52173913
совершенный;PSTV;2.52173913
выиграть;PSTV;2.52173913
ура;PSTV;2.52
верная любовь;PSTV;2.52
летние каникулы;PSTV;2.52
блаженный;PSTV;2.52
от души;PSTV;2.52
вкусный;PSTV;2.518518518
нежное;PSTV;2.5
посчастливиться;PSTV;2.5
любимое;PSTV;2.5
трудолюбие;PSTV;2.5
уютная атмосфера;PSTV;2.5
благодатный;PSTV;2.5
праздник на душе;PSTV;2.5
сёрфинг;PSTV;2.5
сильный;PSTV;2.5
живёт;PSTV;2.5
одержать верх;PSTV;2.5
прав;PSTV;2.5
воздух;PSTV;2.5
мастер своего дела;PSTV;2.5
везучий;PSTV;2.5
большое турне;PSTV;2.5
чуткость;PSTV;2.5
блистать;PSTV;2.5
честность;PSTV;2.5
драйв;PSTV;2.5
благонадёжный;PSTV;2.5
здравомыслие;PSTV;2.5
дыханье;PSTV;2.5
великолепие;PSTV;2.5
смак;PSTV;2.5
суперкласс;PSTV;2.5
воздушное;PSTV;2.5
сиятельство;PSTV;2.5
живая;PSTV;2.5
доставка;PSTV;2.5
крупные победы;PSTV;2.5
пушистые;PSTV;2.5
герой;PSTV;2.5
чудотворец;PSTV;2.5
жить;PSTV;2.5
удивительная лёгкость;PSTV;2.5
брат;PSTV;2.5
полегчать;PSTV;2.5
мастерство;PSTV;2.5
умилять;PSTV;2.5
волшебство;PSTV;2.5
купание;PSTV;2.5
продукты;PSTV;2.5
всесильный;PSTV;2.5
кладезь знаний;PSTV;2.5
искренние поздравления;PSTV;2.5
образцовая жена;PSTV;2.5
круто;PSTV;2.5
одобрение;PSTV;2.5
творчество;PSTV;2.5
ауди;PSTV;2.5
дружеская атмосфера;PSTV;2.5
увенчаться успехом;PSTV;2.5
развлечения;PSTV;2.5
шеф повар;PSTV;2.5
вдохновение;PSTV;2.5
вкусное;PSTV;2.5
обрадовать;PSTV;2.5
любимая женщина;PSTV;2.5
истинная красота;PSTV;2.5
бархатный;PSTV;2.5
книжки;PSTV;2.5
выигрывать;PSTV;2.5
пища;PSTV;2.5
зоркость;PSTV;2.5
живительная сила;PSTV;2.5
боженька;PSTV;2.5
рождаться;PSTV;2.5
премудрый;PSTV;2.5
подружиться;PSTV;2.5
космический рейс;PSTV;2.5
Пегас;PSTV;2.5
мандарин;PSTV;2.5
является;PSTV;2.5
побеждать;PSTV;2.5
одарённость;PSTV;2.5
с лёгким сердцем;PSTV;2.5
отношения;PSTV;2.5
престиж;PSTV;2.5
великодушный;PSTV;2.5
чувствовать себя счастливым;PSTV;2.5
красивейший;PSTV;2.5
всезнающий;PSTV;2.5
чудесный;PSTV;2.5
влюбить;PSTV;2.5
здоровье;PSTV;2.5
законченный;PSTV;2.5
купаться в золоте;PSTV;2.5
волшебная ночь;PSTV;2.5
просвещение;PSTV;2.5
настоящая любовь;PSTV;2.5
свитер;PSTV;2.5
жилище;PSTV;2.5
удачливость;PSTV;2.5
диво;PSTV;2.5
концерт;PSTV;2.5
щедро;PSTV;2.5
золотая медаль;PSTV;2.5
волшебная книга;PSTV;2.5
курорт;PSTV;2.5
лакомый;PSTV;2.5
чувств;PSTV;2.5
солнышко;PSTV;2.5
счастливое детство;PSTV;2.5
закат;PSTV;2.5
диплом;PSTV;2.5
друзья;PSTV;2.5
счастья;PSTV;2.5
красивые;PSTV;2.5
семейное;PSTV;2.5
снизить цену;PSTV;2.5
этичность;PSTV;2.5
спокойная ночь;PSTV;2.5
пироги;PSTV;2.5
пряный;PSTV;2.5
восторженно;PSTV;2.5
внучок;PSTV;2.5
новая музыка;PSTV;2.5
взлёт;PSTV;2.5
сладкий сон;PSTV;2.5
свободное плавание;PSTV;2.5
рука;PSTV;2.5
доходчивость;PSTV;2.5
кинематография;PSTV;2.5
премия;PSTV;2.5
олимпийский чемпион;PSTV;2.5
нетрудный;PSTV;2.5
море;PSTV;2.5
высший класс;PSTV;2.5
награда;PSTV;2.5
сады Семирамиды;PSTV;2.5
комфортабельный;PSTV;2.5
драгоценный камень;PSTV;2.5
любящая семья;PSTV;2.5
рассудительность;PSTV;2.5
великолепно;PSTV;2.5
братишка;PSTV;2.5
подарки;PSTV;2.5
спортивные;PSTV;2.5
социальная справедливость;PSTV;2.5
благословение;PSTV;2.5
родное;PSTV;2.5
лучший;PSTV;2.481481481
высококачественный;PSTV;2.48
отменное здоровье;PSTV;2.48
забота;PSTV;2.48
прекрасное;PSTV;2.48
второe дыхание;PSTV;2.48
светлое будущее;PSTV;2.48
поцелуй;PSTV;2.48
гармония;PSTV;2.48
радость;PSTV;2.48
любимая игра;PSTV;2.478260869
дружище;PSTV;2.478260869
счастливая судьба;PSTV;2.478260869
прекрасный;PSTV;2.478260869
ангел;PSTV;2.478260869
лакомый кусок;PSTV;2.478260869
рекорд;PSTV;2.476190476
второe рождение;PSTV;2.476190476
в зените (успеха/славы);PSTV;2.476190476
чувствовать себя как рыба в воде;PSTV;2.476190476
золотое сердце;PSTV;2.470588235
солнца;PSTV;2.470588235
освободиться;PSTV;2.470588235
наивысший расцвет;PSTV;2.470588235
смех;PSTV;2.46875
ярчайший;PSTV;2.466666666
караоке;PSTV;2.466666666
изысканность;PSTV;2.466666666
кошачий;PSTV;2.466666666
свободное;PSTV;2.466666666
неустрашимый;PSTV;2.466666666
умопомрачение;PSTV;2.466666666
вип;PSTV;2.466666666
бальзам на душу;PSTV;2.461538461
расчудесный;PSTV;2.461538461
непобедимость;PSTV;2.461538461
виза;PSTV;2.461538461
оздоровление;PSTV;2.461538461
облегчаться;PSTV;2.461538461
чудесный город;PSTV;2.461538461
взаимоотношения;PSTV;2.461538461
спасение;PSTV;2.461538461
развесёлый;PSTV;2.461538461
абсолютный слух;PSTV;2.461538461
первенец;PSTV;2.461538461
нестандартное мышление;PSTV;2.461538461
везенье;PSTV;2.461538461
пройти огонь, воду и медные трубы;PSTV;2.461538461
весельчак;PSTV;2.461538461
почётный титул;PSTV;2.461538461
булочная;PSTV;2.461538461
тёплый;PSTV;2.461538461
духовное возрождение;PSTV;2.461538461
реальная помощь;PSTV;2.461538461
верное сердце;PSTV;2.461538461
подарить;PSTV;2.461538461
крепкое здоровье;PSTV;2.461538461
добрые сердца;PSTV;2.461538461
сладко;PSTV;2.461538461
первоклассность;PSTV;2.461538461
дар богов;PSTV;2.461538461
логика;PSTV;2.461538461
семейное счастье;PSTV;2.461538461
выйти сухим из воды;PSTV;2.461538461
спать;PSTV;2.461538461
улов;PSTV;2.461538461
высший балл;PSTV;2.461538461
любить человека;PSTV;2.461538461
плед;PSTV;2.461538461
шик;PSTV;2.458333333
свобода;PSTV;2.458333333
разбогатеть;PSTV;2.458333333
друг за друга;PSTV;2.454545454
мастерица;PSTV;2.454545454
финансовая устойчивость;PSTV;2.454545454
внутреннее спокойствие;PSTV;2.454545454
выигрыш;PSTV;2.454545454
светлый путь;PSTV;2.454545454
сокровенное;PSTV;2.454545454
небесное;PSTV;2.454545454
финансовая грамотность;PSTV;2.454545454
лучшая жизнь;PSTV;2.454545454
храбрость;PSTV;2.454545454
изобразительное искусство;PSTV;2.454545454
музыканты;PSTV;2.454545454
зрение;PSTV;2.454545454
торжественно;PSTV;2.454545454
влюблён;PSTV;2.454545454
пес;PSTV;2.454545454
котэ;PSTV;2.454545454
преосвященный;PSTV;2.454545454
подушка;PSTV;2.454545454
поздравлять;PSTV;2.454545454
выносливый;PSTV;2.454545454
слагаемое;PSTV;2.454545454
Таиланд;PSTV;2.454545454
добрый человек;PSTV;2.454545454
повезло;PSTV;2.454545454
вылечить;PSTV;2.454545454
одним махом;PSTV;2.454545454
книга;PSTV;2.454545454
радостный;PSTV;2.454545454
счастливые воспоминания;PSTV;2.454545454
гениальность;PSTV;2.454545454
комильфо;PSTV;2.454545454
полюбить;PSTV;2.454545454
смешное;PSTV;2.454545454
ясный ум;PSTV;2.454545454
дарить;PSTV;2.454545454
гора с плеч;PSTV;2.454545454
прелестное дитя;PSTV;2.454545454
домашние животные;PSTV;2.454545454
эффектность;PSTV;2.454545454
воля;PSTV;2.454545454
спелые персики;PSTV;2.454545454
отопление;PSTV;2.454545454
гулянка;PSTV;2.454545454
классик;PSTV;2.454545454
кардиограмма;PSTV;2.454545454
притяжение;PSTV;2.454545454
платье;PSTV;2.454545454
вечная любовь;PSTV;2.454545454
клёвый;PSTV;2.454545454
смелый;PSTV;2.454545454
уютная квартира;PSTV;2.454545454
чувство локтя;PSTV;2.454545454
фантазия;PSTV;2.454545454
доктор наук;PSTV;2.454545454
душевность;PSTV;2.454545454
улыбнуться счастье;PSTV;2.454545454
избранница;PSTV;2.454545454
успешный бизнес;PSTV;2.454545454
пекарня;PSTV;2.454545454
веротерпимость;PSTV;2.454545454
любовь матери;PSTV;2.454545454
пирожное;PSTV;2.454545454
благородные поступки;PSTV;2.454545454
благотворительный;PSTV;2.454545454
идеальный союз;PSTV;2.454545454
разрешать;PSTV;2.454545454
ас;PSTV;2.454545454
верный человек;PSTV;2.45
обворожительный;PSTV;2.45
богатый урожай;PSTV;2.444444444
первоклассный;PSTV;2.444444444
материнская любовь;PSTV;2.444444444
шоколад;PSTV;2.44
добро;PSTV;2.44
душевная чистота;PSTV;2.44
свежеиспечённый хлеб;PSTV;2.44
выдающийся;PSTV;2.44
уют;PSTV;2.44
мама;PSTV;2.44
чувствовать себя как дома;PSTV;2.44
великолепный;PSTV;2.44
уютный дом;PSTV;2.44
прекрасный момент;PSTV;2.44
ласковые слова;PSTV;2.44
любимая;PSTV;2.4375
потрясный;PSTV;2.4375
извините;PSTV;2.4375
предмет обожания;PSTV;2.4375
пальма первенства;PSTV;2.4375
идеальная семья;PSTV;2.4375
успеть;PSTV;2.4375
обняться;PSTV;2.4375
пиццерия;PSTV;2.434782608
Любовь;PSTV;2.434782608
долгожданная встреча;PSTV;2.434782608
из рога изобилия;PSTV;2.428571428
достигнуть;PSTV;2.428571428
увлекательный;PSTV;2.428571428
с праздником!;PSTV;2.428571428
манна небесная;PSTV;2.428571428
свет мой;PSTV;2.428571428
бабушки;PSTV;2.428571428
покатываться со смеху;PSTV;2.428571428
человечность;PSTV;2.428571428
заслуженное уважение;PSTV;2.428571428
найтись;PSTV;2.428571428
сладкий;PSTV;2.428571428
творение;PSTV;2.428571428
уютный;PSTV;2.428571428
расплыться в улыбке;PSTV;2.428571428
премудрость;PSTV;2.428571428
добродетель;PSTV;2.428571428
интересная;PSTV;2.428571428
мирный;PSTV;2.428571428
классическая музыка;PSTV;2.428571428
правота;PSTV;2.428571428
любовь;PSTV;2.428571428
продуктивный;PSTV;2.428571428
завтракать;PSTV;2.428571428
выходные;PSTV;2.428571428
счастливейший;PSTV;2.428571428
поцеловаться;PSTV;2.428571428
суббота;PSTV;2.428571428
надежный;PSTV;2.428571428
добрейший человек;PSTV;2.423076923
