CORRECT;MISTAKE;WEIGHT
животное;жывотноэ;0.0256
животное;живоотное;0.0256
животное;животоное;0.0254
животное;жиротное;0.0237
животное;живоное;0.0218
животное;животкное;0.0215
животное;животиное;0.02
животное;животноое;0.0189
животное;животныые;0.0175
животное;живыотное;0.0169
животное;живонтное;0.014
животное;хивотное;0.0118
животное;жувотное;0.0106
животное;живоиное;0.008130081300813009
животное;живодное;0.006670489296636085
животное;жзивотное;0.005154639175257732
животное;живртное;0.004166666666666667
животное;животнй;0.0018018018018018018
животное;животеое;0.0018018018018018018
животное;животеное;0.0017605633802816902
животное;животнога;0.001488095238095238
животное;жмивотное;0.001488095238095238
животное;живостное;0.001488095238095238
животное;жифотное;0.001488095238095238
животное;живаотное;0.001488095238095238
животное;животьное;0.0014792899408284023
камыш;каыш;0.5
камыш;комыш;0.1429
камыш;комышь;0.1429
камыш;камвш;0.0333
камыш;камфш;0.0333
камыш;камыи;0.0333
прыг;паг;0.5
прыг;прыжог;0.375
прыг;приг;0.3214
прыг;брыг;0.1429
прыг;прыж;0.1429
прыг;проыг;0.1429
змея;смэ;0.5
змея;звея;0.2813
змея;змееи;0.25
змея;зая;0.25
змея;зммеи;0.2
змея;змая;0.2
змея;щмея;0.1667
змея;змыя;0.042
змея;сми;0.0345
змея;змя;0.0256
змея;зея;0.025
змея;зиея;0.0213
прыжок;пржок;0.5
прыжок;прыжой;0.3333
прыжок;прижок;0.2097
прыжок;прыхок;0.2
прыжок;прыжое;0.1952
прыжок;пражок;0.1397
прыжок;прыжек;0.1147
прыжок;прыжог;0.0532
прыжок;прыжёк;0.05
прыжок;прыдок;0.04
прыжок;птыжок;0.0385
прыжок;поыжок;0.0385
прыжок;брыжок;0.0348
прыжок;пжок;0.0294
прыжок;пряжок;0.0294
прыжок;прык;0.0294
прыжок;прфжок;0.0278
прыжок;прыжор;0.0227
амфибия;анфибия;0.3333
камыши;камышь;0.2429
камыши;камыи;0.0769
камыши;комыши;0.0769
лягушонок;лягушенок;0.2222
прыгает;приыгает;0.1429
прыгает;прыгаерт;0.0909
прыгает;прыгаит;0.0625
прыгает;пригает;0.0387
прыгает;прыгаеет;0.0333
прыгает;прыкает;0.0333
прыгает;прыгат;0.0141
прыгает;прягает;0.0141
прыгает;пыгает;0.013
царевна;царевно;0.3333
царевна;чаревна;0.3333
царевна;царенвна;0.2
царевна;царевнв;0.1
царевна;цареевна;0.0435
царевна;цареви;0.0256
царевна;царена;0.0256
царевна;цвревна;0.007751937984496124
квакать;квазать;0.2
квакать;кватать;0.0487
квакать;квать;0.0141
квакать;квакаеть;0.0141
комар;кольмар;0.5
комар;камар;0.1333
комар;комаь;0.125
комар;комаха;0.0627
комар;комор;0.0313
комар;кмар;0.0313
комар;комак;0.0294
ага;ра;0.5
ага;йёга;0.5
ага;арпа;0.5
ага;апва;0.5
ага;арва;0.5
ага;аааа;0.5
ага;агот;0.5
ага;аоа;0.5
ага;вьга;0.5
ага;амиа;0.5
ага;мсга;0.5
ага;кига;0.5
ага;гкга;0.5
ага;абба;0.5
ага;аыа;0.5
ага;апяа;0.5
ага;аппа;0.5
ага;агур;0.5
ага;ааа;0.4444
ага;агс;0.375
ага;арра;0.3333
ага;ляга;0.3167
ага;агро;0.1667
скакать;скать;0.5
скакать;мкакать;0.25
скакать;сакать;0.1944
скакать;скокать;0.1285
скакать;скакть;0.1238
прыгать;прыгатоь;0.3333
прыгать;пригать;0.2046
прыгать;прыгаь;0.1667
прыгать;врыгать;0.1667
прыгать;приыгать;0.1086
прыгать;прягать;0.0843
прыгать;прыготь;0.0833
прыгать;пргать;0.0794
прыгать;прыкать;0.0769
прыгать;прагать;0.0759
прыгать;грыгать;0.0333
прыгать;пегать;0.0222
прыгать;прыгаать;0.0222
прыгать;пригатть;0.009345794392523364
прыгать;прыгае;0.009345794392523364
прыгать;прыгаеь;0.00909090909090909
прыгать;прыхать;0.00909090909090909
квакание;кваконье;0.125
кваканье;квакане;0.1667
кваканье;кваконье;0.0345
кваканье;кваканиье;0.0345
мерзкая;мерская;0.1625
мухи;мди;0.5
мухи;мухти;0.5
мухи;музи;0.3333
мухи;мурахи;0.0909
мухи;мухап;0.0526
коричневая;каричневая;0.3433
коричневая;коричнивая;0.2917
коричневая;коричневй;0.0625
слизь;сдизь;0.5
слизь;слизб;0.4167
слизь;склизь;0.1789
слизь;слизнь;0.0385
слизь;слтзь;0.0244
зелень;зеленаю;0.5
зелень;зеленоё;0.5
зелень;зельень;0.5
зелень;зелеть;0.3333
зелень;зелинь;0.3333
зелень;зедень;0.2526
зелень;зелене;0.25
зелень;зеленоя;0.2
зелень;лелень;0.2
зелень;зеленнб;0.2
зелень;залень;0.1997
зелень;зелений;0.192
зелень;злень;0.1429
зелень;зеление;0.1395
зелень;зелнь;0.1321
зелень;зелеень;0.1238
зелень;зельнь;0.1111
зелень;зеленыи;0.1
зелень;зеленй;0.0938
зелень;зеленб;0.0714
зелень;зеленк;0.0526
зелень;зелань;0.0417
зелень;зеоень;0.0289
зелень;селень;0.012
зелень;зелешь;0.005208333333333333
зелень;зеленвй;0.005208333333333333
зелена;зеленоя;0.1667
квакает;квагает;0.0149
земляная;землянная;0.2917
пресмыкающееся;пресыкающееся;0.5
пресмыкающееся;присмыкающееся;0.4167
пресмыкающееся;присмыкающиеся;0.3542
пресмыкающееся;пресмыкющееся;0.1429
пресмыкающееся;присмыкающеесяъ;0.0833
трава;жирава;0.5
трава;траха;0.5
трава;гава;0.5
трава;траф;0.3333
трава;травва;0.3333
трава;дроваъ;0.2917
трава;вава;0.1794
трава;трва;0.1671
трава;кава;0.1611
трава;траво;0.1429
трава;травв;0.1319
трава;тран;0.1111
трава;трабка;0.1111
трава;трова;0.0929
трава;трама;0.0909
трава;ирава;0.0909
трава;травыа;0.0714
трава;твава;0.064
трава;траа;0.057
трава;тпава;0.0533
трава;тава;0.0401
трава;тарава;0.0345
трава;срава;0.0185
трава;травища;0.0172
трава;тррава;0.0156
трава;трафа;0.006024096385542169
трава;тропва;0.004975124378109453
трава;траыва;0.0029239766081871343
квакша;квакса;0.4
квакша;квакча;0.2
квакша;кваа;0.1818
квакша;кваха;0.0909
противно;противо;0.5
противно;пративно;0.2181
противно;притивно;0.2
противно;потивно;0.1429
противно;проивно;0.1429
противно;противныя;0.0833
противно;противние;0.0833
прыгучая;прыгучия;0.5
прыгучая;прыгующая;0.3333
прыгучая;пригучая;0.25
водоросли;водорости;0.2631
водоросли;водорасли;0.25
водоросли;водросли;0.2079
водоросли;водоросди;0.1429
водоросли;водороссли;0.0204
лягуха;лягуа;0.25
зеленная;зелкная;0.25
река;ребка;0.75
река;рутка;0.5
река;жка;0.5
река;раа;0.5
река;руска;0.5
река;ропка;0.5
река;пка;0.5
река;рекм;0.5
река;нка;0.4952
река;ряга;0.4
река;рибка;0.375
река;мка;0.3333
река;рекета;0.3333
река;рекушка;0.3333
река;дка;0.2917
река;ра;0.25
река;роа;0.25
река;рекыр;0.25
река;рер;0.25
река;рес;0.25
река;лка;0.25
река;рен;0.248
река;рба;0.2461
река;рыа;0.2121
река;ред;0.2083
река;руека;0.2
река;счека;0.2
река;ика;0.2
река;рпа;0.193
река;рега;0.1905
река;тека;0.1811
река;рика;0.1792
река;рбмка;0.1714
река;рязка;0.1544
река;ска;0.154
река;рекуе;0.1429
река;рекрв;0.1429
река;реда;0.1429
река;реб;0.1111
река;реччка;0.1111
река;рекка;0.1084
река;рма;0.1
река;гка;0.1
река;реы;0.1
река;рпека;0.1
река;реа;0.0977
река;рка;0.0971
река;рчка;0.0934
река;чка;0.0855
река;рра;0.0833
река;ркека;0.0833
река;руйка;0.0769
река;речька;0.0682
река;реба;0.0667
река;рга;0.0667
река;рупка;0.0625
река;рбка;0.0556
река;реяка;0.0526
река;ричка;0.0502
река;оека;0.0501
река;шка;0.045
река;гека;0.0405
река;ркчка;0.04
река;реека;0.0385
река;реска;0.0312
река;реча;0.0281
река;рычка;0.027
река;рел;0.0263
река;реч;0.0183
река;рекчка;0.0175
река;спека;0.0161
река;реко;0.0133
река;рекк;0.0118
шкура;шкушка;0.5
шкура;шка;0.4
шкура;жкура;0.3333
шкура;шкуро;0.125
шкура;шкра;0.027
мокрая;прокрая;0.5
мокрая;мокрачя;0.3333
мокрая;мократа;0.3333
мокрая;мокрл;0.2
мокрая;мокорая;0.0333
головастик;головвастик;0.1667
головастик;головастиу;0.0909
головастик;головачтик;0.0227
головастик;головостик;0.0227
цапля;цыпля;0.5
цапля;чапля;0.0625
франция;францция;0.5
франция;франзия;0.2
франция;францыя;0.1457
франция;фванция;0.1429
франция;фрнция;0.125
франция;франциск;0.1111
франция;франця;0.0667
франция;фтранция;0.0667
франция;францз;0.0667
франция;фраеция;0.0333
франция;фракия;0.0333
франция;фрвнция;0.0286
франция;францие;0.0244
франция;франчия;0.0244
франция;вранция;0.0161
франция;франсия;0.0161
франция;францмя;0.0145
франция;францыы;0.0145
опушка;вушка;0.5
опушка;гушка;0.3333
опушка;опка;0.3333
маленькая;малинькое;0.5
маленькая;маленбкая;0.5
маленькая;матенькая;0.5
маленькая;маленьки;0.3813
маленькая;маденькая;0.375
маленькая;маленькоя;0.25
маленькая;маленокая;0.25
маленькая;маленкое;0.2312
маленькая;маленькй;0.2005
маленькая;маленькае;0.2
маленькая;маленькеая;0.2
маленькая;маленьая;0.1678
маленькая;маленкая;0.1539
маленькая;малнькая;0.1332
маленькая;маленткая;0.1257
маленькая;маленьгая;0.1181
маленькая;маленьке;0.1156
маленькая;малынькая;0.1111
маленькая;малинькая;0.1005
маленькая;маленькакя;0.1
маленькая;маеленькая;0.1
маленькая;малеькая;0.0973
маленькая;маленьккая;0.0909
маленькая;иаленькая;0.0833
маленькая;маленкькая;0.0833
маленькая;маленьакая;0.0833
маленькая;саленькая;0.0777
маленькая;моленькая;0.0712
маленькая;маленькаы;0.0667
маленькая;мальенькое;0.0667
маленькая;масенькая;0.0667
маленькая;маленькя;0.0627
маленькая;маленькач;0.0609
маленькая;паленькая;0.0588
маленькая;мальнькая;0.0552
маленькая;маленикая;0.0521
маленькая;мленькая;0.0407
маленькая;мальенькая;0.0344
маленькая;маленькамя;0.0323
маленькая;малынькоя;0.0256
маленькая;маленькачя;0.0248
маленькая;мааленькая;0.0123
маленькая;маенькая;0.009259259259259259
маленькая;маленья;0.009259259259259259
маленькая;малькая;0.009259259259259259
маленькая;малинкая;0.006664203005666421
маленькая;маленнькая;0.005738277079740494
конь;конд;0.75
конь;конст;0.75
конь;понь;0.5
конь;конс;0.5
конь;конц;0.5
конь;коно;0.5
конь;коэ;0.5
конь;коц;0.5
конь;лонь;0.5
конь;корль;0.3333
конь;камнь;0.3333
конь;конгпь;0.3333
конь;коа;0.3333
конь;кпь;0.3333
конь;инь;0.3333
конь;агонь;0.3333
конь;конб;0.2667
конь;конло;0.25
конь;кондр;0.25
конь;когь;0.25
конь;гонь;0.2222
конь;коняк;0.125
конь;коный;0.1
конь;конес;0.0909
конь;когнь;0.0714
конь;кнь;0.0675
конь;конеу;0.0667
конь;коний;0.0625
конь;коть;0.0526
конь;конзп;0.037
конь;короь;0.0357
конь;клнь;0.0313
конь;колнь;0.0263
конь;крнь;0.0233
оранжевый;орапьжевый;0.25
оранжевый;оранжавый;0.2
оранжевый;ораньжевый;0.1662
оранжевый;оранджевый;0.1611
оранжевый;оранжевий;0.1262
оранжевый;оранживый;0.0751
оранжевый;оранжеый;0.0636
оранжевый;орвнжевый;0.0588
оранжевый;орагжевый;0.0565
оранжевый;ораньживый;0.0531
оранжевый;оранжевй;0.0521
оранжевый;оражевый;0.0486
оранжевый;оранжквый;0.0417
оранжевый;аранжевый;0.036
оранжевый;орандевый;0.0323
оранжевый;ораншевый;0.0313
оранжевый;араньжевый;0.0161
оранжевый;орнжевый;0.0133
костёр;кастёр;0.153
костёр;костэр;0.1111
костёр;комтёр;0.0769
костёр;костюр;0.0714
костёр;костр;0.0713
костёр;костнр;0.0625
костёр;костяр;0.0588
костёр;костьор;0.0549
костёр;костар;0.0333
костёр;костор;0.0313
костёр;косёр;0.0213
костёр;кастьор;0.0037174721189591076
костёр;корстёр;0.0018587360594795538
священный;свещеный;0.375
священный;священый;0.3077
священный;свещенный;0.1635
священный;свещенний;0.0385
священный;священнай;0.0385
священный;свщенный;0.0385
поход;позд;0.5
поход;похожд;0.5
поход;прод;0.5
поход;роход;0.5
поход;похот;0.5
поход;поед;0.3333
поход;пешоход;0.3333
поход;саоход;0.3333
поход;пороход;0.3333
поход;похд;0.2647
поход;похота;0.25
поход;похолд;0.25
поход;прход;0.2
поход;попход;0.125
поход;паход;0.1031
поход;похпд;0.0769
поход;пожод;0.0769
поход;пишоход;0.0667
поход;похлд;0.0417
поход;пход;0.0369
поход;перход;0.0278
поход;похоб;0.027
поход;поод;0.0256
свечи;свех;0.5
свечи;свеа;0.3333
свечи;свечк;0.1667
свечи;свеяи;0.1429
свечи;свечаъ;0.0833
свечи;чвечи;0.0588
свечи;свеци;0.0256
красиво;красивея;0.5
красиво;коасиво;0.5
красиво;красиуво;0.5
красиво;красово;0.375
красиво;красивл;0.35
красиво;красибо;0.3352
красиво;красио;0.3214
красиво;красивий;0.3202
красиво;краиво;0.3042
красиво;красивие;0.301
красиво;крассиво;0.2917
красиво;красиваю;0.25
красиво;красиве;0.2174
красиво;красивыя;0.2143
красиво;красивае;0.2126
красиво;красыво;0.2083
красиво;красыва;0.2
красиво;красивай;0.1792
красиво;красивыу;0.1667
красиво;краситьо;0.1667
красиво;красивй;0.1461
красиво;красивно;0.1429
красиво;касиво;0.1339
красиво;краство;0.125
красиво;красиыо;0.125
красиво;красик;0.1111
красиво;красво;0.1111
красиво;красивыи;0.1025
красиво;кросива;0.1
красиво;красивр;0.1
красиво;кросиво;0.0839
красиво;ерасиво;0.0526
красиво;красивя;0.05
красиво;карасиво;0.05
красиво;красивфй;0.0384
красиво;красивре;0.0127
красиво;красий;0.011
красиво;красивыц;0.0101
тепло;тпло;0.5
тепло;тесо;0.4
тепло;туло;0.3333
тепло;теплын;0.3333
тепло;теплло;0.3333
тепло;тето;0.3214
тепло;пепло;0.2514
тепло;тило;0.25
тепло;рпло;0.25
тепло;теплй;0.2361
тепло;тео;0.2
тепло;толо;0.2
тепло;тпепло;0.1429
тепло;темло;0.1059
тепло;тапло;0.0982
тепло;тепро;0.094
тепло;типло;0.0833
тепло;тепело;0.0801
тепло;теплий;0.067
тепло;тепо;0.0595
тепло;ткпло;0.0526
тепло;бепло;0.05
тепло;теило;0.0476
тепло;теплдо;0.0417
тепло;тупло;0.0328
тепло;теплае;0.0313
тепло;теплп;0.0294
тепло;теппло;0.0227
тепло;ткло;0.0152
тепло;теплфй;0.0139
тепло;тепго;0.013
тепло;цепло;0.006993006993006993
тепло;лепло;0.006993006993006993
тепло;иепло;0.0064516129032258064
тепло;теплро;0.0064516129032258064
тепло;тьло;0.0064516129032258064
тепло;темпло;0.0064516129032258064
тепло;тло;0.005344450519409513
больно;больнын;0.5
больно;больнца;0.4167
больно;болоьно;0.3333
больно;болько;0.3333
больно;больг;0.25
больно;больъ;0.225
больно;больниа;0.2083
больно;больго;0.2051
больно;больницо;0.125
больно;боьно;0.125
больно;больнро;0.125
больно;сльно;0.125
больно;больный;0.1129
больно;дольно;0.1111
больно;больо;0.0909
больно;больш;0.0714
больно;больэ;0.0179
больно;больт;0.0179
больно;болльно;0.0179
больно;болно;0.0179
больно;юольно;0.0179
больно;большо;0.0179
горячо;горячия;0.5
горячо;горясо;0.5
горячо;горячяя;0.375
горячо;гарячо;0.3056
горячо;горячии;0.2667
горячо;гаречё;0.2515
горячо;горечо;0.2495
горячо;горяче;0.2169
горячо;горо;0.2
горячо;горячый;0.1723
горячо;горячё;0.1295
горячо;горечё;0.125
горячо;горячик;0.125
горячо;горячиу;0.0833
горячо;горячь;0.0556
горячо;гаречо;0.055
горячо;горяцо;0.0454
горячо;хорячо;0.025
горячо;гарячё;0.025
горячо;гоячо;0.007518796992481203
горячо;грячо;0.007518796992481203
горячо;горяо;0.007518796992481203
горячо;гаричо;0.007518796992481203
горячий;горячиц;0.5
горячий;горкий;0.3386
горячий;горячия;0.25
горячий;горяий;0.2016
горячий;горягий;0.2
горячий;гарячий;0.1889
горячий;горячё;0.1686
горячий;горяче;0.16
горячий;горячь;0.1477
горячий;горяччий;0.1429
горячий;горячиий;0.0909
горячий;горяций;0.0827
горячий;горячии;0.0769
горячий;грячий;0.0746
горячий;горичий;0.05
горячий;горячый;0.0321
горячий;горячиу;0.0244
горячий;корячий;0.00641025641025641
горячий;гарячый;0.00641025641025641
горячий;норячий;0.00641025641025641
горячий;гоячий;0.00641025641025641
жгучий;жгачий;0.0769
возгорание;возгарание;0.6667
возгорание;возгарания;0.3333
возгорание;взгорание;0.3333
марс;ёрс;0.5
марс;мис;0.5
марс;марп;0.5
марс;мчс;0.3333
марс;мкс;0.2463
марс;мс;0.1429
марс;мкрс;0.1
марс;иарс;0.0714
марс;мурс;0.0714
марс;мрс;0.0625
марс;мас;0.0563
марс;марм;0.0128
красный;квасный;0.6667
красный;кусный;0.5
красный;крусный;0.5
красный;круный;0.5
красный;краснык;0.5
красный;красеый;0.375
красный;страсный;0.35
красный;красныс;0.3333
красный;крвсный;0.3333
красный;красноый;0.3333
красный;красня;0.3333
красный;красочый;0.25
красный;класный;0.2363
красный;ерасный;0.225
красный;красывый;0.2073
красный;красый;0.1825
красный;крачный;0.1774
красный;красибый;0.1685
красный;красныцй;0.1667
красный;краный;0.1466
красный;крассный;0.1351
красный;красний;0.1296
красный;красныц;0.125
красный;кроасный;0.1055
красный;краасный;0.1
красный;касный;0.0954
красный;гразный;0.0909
красный;красныё;0.0769
красный;краснывй;0.0714
красный;краснай;0.0645
красный;кпасный;0.0625
красный;крсный;0.0607
красный;кисный;0.0588
красный;краксный;0.0578
красный;краяный;0.0526
красный;урасный;0.05
красный;крастный;0.0496
красный;краснвй;0.047
красный;красныф;0.0345
красный;кравный;0.0345
красный;часный;0.0323
красный;крный;0.0323
красный;краснй;0.0267
красный;грасный;0.0231
красный;красне;0.0221
красный;краснсый;0.0175
красный;крвасный;0.0172
красный;крнасный;0.0137
красный;коасный;0.0123
красный;краснный;0.0116
красный;крысный;0.0107
красный;красиый;0.005415162454873646
красный;краснфй;0.003937007874015748
красный;красныи;0.0032501408568268607
красный;красвый;0.002890173410404624
красный;красньй;0.002890173410404624
красный;красняй;0.002890173410404624
красный;красовый;0.0018050541516245488
красный;крассний;0.0018050541516245488
красный;краствый;0.0018050541516245488
красный;красвй;0.0018050541516245488
свет;свг;0.5
свет;свеня;0.5
свет;сви;0.5
свет;мвет;0.3333
свет;святьть;0.3333
свет;свеяи;0.25
свет;свс;0.25
свет;свера;0.225
свет;свен;0.1667
свет;еет;0.1667
свет;хет;0.1667
свет;тивет;0.1667
свет;смт;0.1667
свет;сввет;0.1667
свет;свкет;0.1667
свет;свмст;0.1667
свет;чвет;0.153
свет;цет;0.1429
свет;свает;0.1307
свет;склет;0.125
свет;сверч;0.125
свет;свя;0.1125
свет;свег;0.1111
свет;щет;0.1111
свет;жет;0.1111
свет;своет;0.0909
свет;стет;0.0833
свет;сверк;0.0833
свет;солет;0.0833
свет;сфет;0.0769
свет;срет;0.0769
свет;сят;0.0714
свет;свечп;0.0714
свет;цввет;0.0713
свет;свер;0.0693
свет;свелит;0.0625
свет;цывет;0.0588
свет;свео;0.0556
свет;свекает;0.0556
свет;свечь;0.0548
свет;смвет;0.0526
свет;свеч;0.0523
свет;йвет;0.0491
свет;сает;0.0476
свет;свечя;0.047
свет;свт;0.0376
свет;ствет;0.0354
свет;сва;0.0323
свет;свк;0.0323
свет;свех;0.027
свет;сщет;0.0244
свет;свв;0.0213
свет;квет;0.0213
свет;свнт;0.0189
свет;свент;0.0189
свет;свеь;0.0175
свет;свот;0.0174
свет;ввет;0.0169
свет;свеяа;0.0161
свет;свеца;0.012
свет;свееет;0.0109
свет;свы;0.0102
свет;свеиа;0.009900990099009901
